"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","inference","gate_overall.al","healthy.al","gate_rank_num.al","runtime_sec.al","selected_pool.al","selected_candidate.al","gate_overall.exal","healthy.exal","gate_rank_num.exal","runtime_sec.exal","selected_pool.exal","selected_candidate.exal","gate_delta_exal_minus_al","gate_comparison","runtime_ratio_exal_over_al","faster_method"
"static_shrink::gausmix::0p05::100::ridge","root__static_shrink__gausmix__tau_0p05__tt_100__ridge","static_shrink","static_shrink","gausmix","0p05",100,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,11.957,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::gausmix::0p05::1000::rhs","root__static_shrink__gausmix__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p05",1000,"rhs","mcmc","PASS",TRUE,1,9.365,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,2,,"baseline_original","baseline",-1,"al_better",,
"static_shrink::gausmix::0p05::1000::rhs","root__static_shrink__gausmix__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p05",1000,"rhs","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,11.336,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::gausmix::0p05::1000::ridge","root__static_shrink__gausmix__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p05",1000,"ridge","mcmc","PASS",TRUE,1,9.258,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,2,,"baseline_original","baseline",-1,"al_better",,
"static_shrink::gausmix::0p05::1000::ridge","root__static_shrink__gausmix__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p05",1000,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,12.036,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::gausmix::0p25::100::rhs","root__static_shrink__gausmix__tau_0p25__tt_100__rhs","static_shrink","static_shrink","gausmix","0p25",100,"rhs","mcmc","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,164.023,"hybrid_291_selection","F085_sub2_s100",-1,"al_better",,
"static_shrink::gausmix::0p25::100::rhs","root__static_shrink__gausmix__tau_0p25__tt_100__rhs","static_shrink","static_shrink","gausmix","0p25",100,"rhs","vb","PASS",TRUE,1,0.669,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,2,13.807,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"al_better",20.638266,"al"
"static_shrink::gausmix::0p25::100::ridge","root__static_shrink__gausmix__tau_0p25__tt_100__ridge","static_shrink","static_shrink","gausmix","0p25",100,"ridge","mcmc","PASS",TRUE,1,19.916,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,2,,"baseline_original","baseline",-1,"al_better",,
"static_shrink::gausmix::0p25::100::ridge","root__static_shrink__gausmix__tau_0p25__tt_100__ridge","static_shrink","static_shrink","gausmix","0p25",100,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,13.777,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"al_better",,
"static_shrink::gausmix::0p25::1000::rhs","root__static_shrink__gausmix__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p25",1000,"rhs","mcmc","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,60.128,"hybrid_291_selection","F085_sub2_s100",-1,"al_better",,
"static_shrink::gausmix::0p25::1000::rhs","root__static_shrink__gausmix__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p25",1000,"rhs","vb","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,16.157,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"al_better",,
"static_shrink::gausmix::0p25::1000::ridge","root__static_shrink__gausmix__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p25",1000,"ridge","mcmc","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,136.497,"hybrid_291_selection","F085_sub2_s105_histshort",-1,"al_better",,
"static_shrink::gausmix::0p25::1000::ridge","root__static_shrink__gausmix__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p25",1000,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,17.614,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"al_better",,
"static_shrink::gausmix::0p95::100::rhs","root__static_shrink__gausmix__tau_0p95__tt_100__rhs","static_shrink","static_shrink","gausmix","0p95",100,"rhs","mcmc","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,306.468,"hybrid_291_selection","F0825_sub2_s100",0,"tie",,
"static_shrink::gausmix::0p95::100::rhs","root__static_shrink__gausmix__tau_0p95__tt_100__rhs","static_shrink","static_shrink","gausmix","0p95",100,"rhs","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,17.116,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::gausmix::0p95::100::ridge","root__static_shrink__gausmix__tau_0p95__tt_100__ridge","static_shrink","static_shrink","gausmix","0p95",100,"ridge","mcmc","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,56.011,"hybrid_291_selection","F085_sub2_s100",0,"tie",,
"static_shrink::gausmix::0p95::100::ridge","root__static_shrink__gausmix__tau_0p95__tt_100__ridge","static_shrink","static_shrink","gausmix","0p95",100,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,17.224,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
