root_id	root_kind	family	tau	fit_size	prior	n_methods	n_signoff_pass	n_signoff_warn	n_signoff_fail	method_comparison_eligible_rate	algorithm_pair_comparison_eligible_rate	model_pair_comparison_eligible_rate	root_comparison_eligible_any	root_comparison_eligible_full	run_root
root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	500	default	4	1	1	2	0.5	0	0.5	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	5000	default	4	0	3	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	4	1	0	3	0.25	0	0	FALSE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	5000	default	4	0	3	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	500	default	4	1	2	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	5000	default	4	1	2	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p95__lasttt_500	dynamic	normal	0.95	500	default	4	0	3	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p95__lasttt_5000	dynamic	normal	0.95	5000	default	4	0	4	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__static_paper__gausmix__tau_0p05__tt_100	static_paper	gausmix	0.05	100	paper	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p05__tt_1000	static_paper	gausmix	0.05	1000	paper	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__gausmix__tau_0p25__tt_100	static_paper	gausmix	0.25	100	paper	4	1	1	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p25__tt_1000	static_paper	gausmix	0.25	1000	paper	4	2	0	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__gausmix__tau_0p95__tt_100	static_paper	gausmix	0.95	100	paper	4	1	2	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p95__tt_1000	static_paper	gausmix	0.95	1000	paper	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p05__tt_100	static_paper	laplace	0.05	100	paper	4	2	2	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p05__tt_1000	static_paper	laplace	0.05	1000	paper	4	2	2	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p25__tt_100	static_paper	laplace	0.25	100	paper	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p25__tt_1000	static_paper	laplace	0.25	1000	paper	4	1	1	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p95__tt_100	static_paper	laplace	0.95	100	paper	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p95__tt_1000	static_paper	laplace	0.95	1000	paper	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__normal__tau_0p05__tt_100	static_paper	normal	0.05	100	paper	4	2	2	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__normal__tau_0p05__tt_1000	static_paper	normal	0.05	1000	paper	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__normal__tau_0p25__tt_100	static_paper	normal	0.25	100	paper	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__normal__tau_0p25__tt_1000	static_paper	normal	0.25	1000	paper	4	2	0	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__normal__tau_0p95__tt_100	static_paper	normal	0.95	100	paper	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__normal__tau_0p95__tt_1000	static_paper	normal	0.95	1000	paper	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_shrink__gausmix__tau_0p05__tt_100__rhs	static_shrink	gausmix	0.05	100	rhs	4	0	3	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__gausmix__tau_0p05__tt_100__ridge	static_shrink	gausmix	0.05	100	ridge	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	static_shrink	gausmix	0.05	1000	rhs	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	static_shrink	gausmix	0.05	1000	ridge	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__gausmix__tau_0p25__tt_100__rhs	static_shrink	gausmix	0.25	100	rhs	4	1	1	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__gausmix__tau_0p25__tt_100__ridge	static_shrink	gausmix	0.25	100	ridge	4	1	2	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	static_shrink	gausmix	0.25	1000	rhs	4	2	0	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	static_shrink	gausmix	0.25	1000	ridge	4	2	0	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__gausmix__tau_0p95__tt_100__rhs	static_shrink	gausmix	0.95	100	rhs	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__gausmix__tau_0p95__tt_100__ridge	static_shrink	gausmix	0.95	100	ridge	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	static_shrink	gausmix	0.95	1000	rhs	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	static_shrink	gausmix	0.95	1000	ridge	4	2	2	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__laplace__tau_0p05__tt_100__rhs	static_shrink	laplace	0.05	100	rhs	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__laplace__tau_0p05__tt_100__ridge	static_shrink	laplace	0.05	100	ridge	4	2	2	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__laplace__tau_0p05__tt_1000__rhs	static_shrink	laplace	0.05	1000	rhs	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__laplace__tau_0p05__tt_1000__ridge	static_shrink	laplace	0.05	1000	ridge	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__laplace__tau_0p25__tt_100__rhs	static_shrink	laplace	0.25	100	rhs	4	1	1	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__laplace__tau_0p25__tt_100__ridge	static_shrink	laplace	0.25	100	ridge	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__laplace__tau_0p25__tt_1000__rhs	static_shrink	laplace	0.25	1000	rhs	4	2	0	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__laplace__tau_0p25__tt_1000__ridge	static_shrink	laplace	0.25	1000	ridge	4	2	0	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__laplace__tau_0p95__tt_100__rhs	static_shrink	laplace	0.95	100	rhs	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__laplace__tau_0p95__tt_100__ridge	static_shrink	laplace	0.95	100	ridge	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__laplace__tau_0p95__tt_1000__rhs	static_shrink	laplace	0.95	1000	rhs	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__laplace__tau_0p95__tt_1000__ridge	static_shrink	laplace	0.95	1000	ridge	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__normal__tau_0p05__tt_100__rhs	static_shrink	normal	0.05	100	rhs	4	2	2	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__normal__tau_0p05__tt_100__ridge	static_shrink	normal	0.05	100	ridge	4	1	2	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__normal__tau_0p05__tt_1000__rhs	static_shrink	normal	0.05	1000	rhs	4	1	2	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__normal__tau_0p05__tt_1000__ridge	static_shrink	normal	0.05	1000	ridge	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__normal__tau_0p25__tt_100__rhs	static_shrink	normal	0.25	100	rhs	4	2	0	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__normal__tau_0p25__tt_100__ridge	static_shrink	normal	0.25	100	ridge	4	2	1	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__normal__tau_0p25__tt_1000__rhs	static_shrink	normal	0.25	1000	rhs	4	2	0	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__normal__tau_0p25__tt_1000__ridge	static_shrink	normal	0.25	1000	ridge	4	2	0	2	0.5	0.5	0	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__normal__tau_0p95__tt_100__rhs	static_shrink	normal	0.95	100	rhs	4	0	4	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__normal__tau_0p95__tt_100__ridge	static_shrink	normal	0.95	100	ridge	4	1	3	0	1	1	1	TRUE	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__normal__tau_0p95__tt_1000__rhs	static_shrink	normal	0.95	1000	rhs	4	1	2	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__normal__tau_0p95__tt_1000__ridge	static_shrink	normal	0.95	1000	ridge	4	1	2	1	0.75	0.5	0.5	TRUE	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
