"base_row_id","original_case_key","selected_source_type","selected_source_subtype","selected_variant_tag","source_config_csv","source_run_config_path","source_config_style","resolution_score","source_seed","seed_1","seed_2","seed_3","seed_4"
11,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic_restored_closure_20260410","phase1_dynamic_reinforcement","orig288_sync0p4p0_dynamic_restored_closure_20260410","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/configs/row_0003_run_config.rds","nested",200,202604060,202604060,202604161,202605069,202614067
12,"dynamic::gausmix::0p25::500::default::exdqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0006_run_config.rds","nested",100,202663,202663,202764,203672,212670
13,"dynamic::gausmix::0p25::5000::default::dqlm::mcmc","dynamic_summary_csv","dynamic_archive_summary","adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0257_run_config.rds","nested",60,205195,205195,205296,206204,215202
14,"dynamic::gausmix::0p25::5000::default::dqlm::vb","baseline_original","baseline_original","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0007_run_config.rds","nested",60,195479,195479,195580,196488,205486
15,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","hybrid_291_selection","dynamic_local_override","row15_slice_exact_20260405","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0258_run_config.rds","nested",60,216079,216079,216180,217088,226086
16,"dynamic::gausmix::0p25::5000::default::exdqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0008_run_config.rds","nested",100,205963,205963,206064,206972,215970
17,"dynamic::gausmix::0p95::500::default::dqlm::mcmc","dynamic_archive_rescore_20260405","archive_rescore_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0259_run_config.rds","nested",60,202063,202063,202164,203072,212070
18,"dynamic::gausmix::0p95::500::default::dqlm::vb","baseline_original","baseline_original","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0009_run_config.rds","nested",60,192547,192547,192648,193556,202554
19,"dynamic::gausmix::0p95::500::default::exdqlm::mcmc","dynamic_tail8_20260405","anchor8_slice_sync","orig288_dyn_tail8_slice_sync_20260405","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_original288_dynamic_tail8_manifest_status_20260405.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/original288_dynamic_tail8_configs_20260405/anchor8_slice_sync/exdqlm_gausmix_tau0p95_tt500_mcmc_exdqlm_slice_sync.rds","nested",140,2026032719,2026032719,2026032820,2026033728,2026042726
20,"dynamic::gausmix::0p95::500::default::exdqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0010_run_config.rds","nested",100,202810,202810,202911,203819,212817
21,"dynamic::gausmix::0p95::5000::default::dqlm::mcmc","dynamic_summary_csv","dynamic_archive_summary","tierA_sync_20260322_Q03_dqlm_tau0p95_tt5000_gausmix","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0261_run_config.rds","nested",60,205342,205342,205443,206351,215349
22,"dynamic::gausmix::0p95::5000::default::dqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0011_run_config.rds","nested",100,195626,195626,195727,196635,205633
23,"dynamic::gausmix::0p95::5000::default::exdqlm::mcmc","syncedbase_faithful_replay_20260407","phase5_dynamic_mcmc","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0262_run_config.rds","nested",100,216226,216226,216327,217235,226233
24,"dynamic::gausmix::0p95::5000::default::exdqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0012_run_config.rds","nested",100,206110,206110,206211,207119,216117
25,"dynamic::laplace::0p05::500::default::dqlm::mcmc","dynamic_archive_rescore_20260405","archive_rescore_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0263_run_config.rds","nested",60,201211,201211,201312,202220,211218
26,"dynamic::laplace::0p05::500::default::dqlm::vb","baseline_original","baseline_original","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0013_run_config.rds","nested",60,191695,191695,191796,192704,201702
27,"dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic_restored_closure_20260410","phase2_dynamic_broad_repair","orig288_sync0p4p0_dynamic_restored_closure_20260410","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/configs/row_0017_run_config.rds","nested",200,202604060,202604060,202604161,202605069,202614067
28,"dynamic::laplace::0p05::500::default::exdqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0014_run_config.rds","nested",100,201958,201958,202059,202967,211965
29,"dynamic::laplace::0p05::5000::default::dqlm::mcmc","syncedbase_faithful_replay_20260407","phase5_dynamic_mcmc","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0264_run_config.rds","nested",100,204490,204490,204591,205499,214497
30,"dynamic::laplace::0p05::5000::default::dqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0015_run_config.rds","nested",100,194774,194774,194875,195783,204781
31,"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","baseline_original","baseline_original","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_closure_20260407/configs/row_0004_run_config.rds","nested",60,215374,215374,215475,216383,225381
32,"dynamic::laplace::0p05::5000::default::exdqlm::vb","dynamic_archive_rescore_20260405","archive_rescore_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0016_run_config.rds","nested",60,205258,205258,205359,206267,215265
33,"dynamic::laplace::0p25::500::default::dqlm::mcmc","dynamic_archive_rescore_20260405","archive_rescore_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0265_run_config.rds","nested",60,201253,201253,201354,202262,211260
34,"dynamic::laplace::0p25::500::default::dqlm::vb","baseline_original","baseline_original","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0017_run_config.rds","nested",60,191737,191737,191838,192746,201744
35,"dynamic::laplace::0p25::500::default::exdqlm::mcmc","dynamic_archive_rescore_20260405","archive_rescore_existing","slice_wave1_20260319","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_closure_20260407/configs/row_0011_run_config.rds","nested",60,211916,211916,212017,212925,221923
36,"dynamic::laplace::0p25::500::default::exdqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0018_run_config.rds","nested",100,202000,202000,202101,203009,212007
37,"dynamic::laplace::0p25::5000::default::dqlm::mcmc","syncedbase_faithful_replay_20260407","phase5_dynamic_mcmc","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0267_run_config.rds","nested",100,204532,204532,204633,205541,214539
38,"dynamic::laplace::0p25::5000::default::dqlm::vb","baseline_original","baseline_original","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0019_run_config.rds","nested",60,194816,194816,194917,195825,204823
39,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc","dynamic_summary_csv","dynamic_archive_summary","slice_wave2_20260319_laplace_indep1","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0268_run_config.rds","nested",60,215416,215416,215517,216425,225423
40,"dynamic::laplace::0p25::5000::default::exdqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0020_run_config.rds","nested",100,205300,205300,205401,206309,215307
41,"dynamic::laplace::0p95::500::default::dqlm::mcmc","dynamic_archive_rescore_20260405","archive_rescore_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0269_run_config.rds","nested",60,201400,201400,201501,202409,211407
42,"dynamic::laplace::0p95::500::default::dqlm::vb","baseline_original","baseline_original","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0021_run_config.rds","nested",60,191884,191884,191985,192893,201891
43,"dynamic::laplace::0p95::500::default::exdqlm::mcmc","syncedbase_faithful_replay_20260407","phase5_dynamic_mcmc","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0270_run_config.rds","nested",100,212063,212063,212164,213072,222070
44,"dynamic::laplace::0p95::500::default::exdqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0022_run_config.rds","nested",100,202147,202147,202248,203156,212154
45,"dynamic::laplace::0p95::5000::default::dqlm::mcmc","syncedbase_faithful_replay_20260407","phase5_dynamic_mcmc","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0271_run_config.rds","nested",100,204679,204679,204780,205688,214686
46,"dynamic::laplace::0p95::5000::default::dqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0023_run_config.rds","nested",100,194963,194963,195064,195972,204970
47,"dynamic::laplace::0p95::5000::default::exdqlm::mcmc","dynamic_summary_csv","dynamic_archive_summary","tierA_sync_20260322_Q04_exdqlm_tau0p95_tt5000_laplace","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0272_run_config.rds","nested",60,215563,215563,215664,216572,225570
48,"dynamic::laplace::0p95::5000::default::exdqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0024_run_config.rds","nested",100,205447,205447,205548,206456,215454
49,"dynamic::normal::0p05::500::default::dqlm::mcmc","dynamic_archive_rescore_20260405","archive_rescore_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0273_run_config.rds","nested",60,197364,197364,197465,198373,207371
50,"dynamic::normal::0p05::500::default::dqlm::vb","baseline_original","baseline_original","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0025_run_config.rds","nested",60,188048,188048,188149,189057,198055
51,"dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic_restored_closure_20260410","phase1_dynamic_reinforcement","orig288_sync0p4p0_dynamic_restored_closure_20260410","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/configs/row_0010_run_config.rds","nested",200,202604060,202604060,202604161,202605069,202614067
52,"dynamic::normal::0p05::500::default::exdqlm::vb","syncedbase_faithful_replay_20260407","phase1_vb_all","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0026_run_config.rds","nested",100,198090,198090,198191,199099,208097
53,"dynamic::normal::0p05::5000::default::dqlm::mcmc","dynamic_summary_csv","dynamic_archive_summary","tierA_sync_20260322_Q01_dqlm_tau0p05_tt5000_normal","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/LOCAL_original288_exactspec_multiseed_config_index_20260412.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0274_run_config.rds","nested",60,200595,200595,200696,201604,210602
