unit_id	unit_type	root_id	task_id	barrier_id	root_kind	family	tau	fit_size	prior	model	scope	state	recommended_action	location	notes
mp__root__dynamic__gausmix__tau_0p25__lasttt_5000__dqlm	model_path	root__dynamic__gausmix__tau_0p25__lasttt_5000	mp__root__dynamic__gausmix__tau_0p25__lasttt_5000__dqlm	NA	dynamic	gausmix	0.25	5000	default	dqlm	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__gausmix__tau_0p25__lasttt_5000__exdqlm	model_path	root__dynamic__gausmix__tau_0p25__lasttt_5000	mp__root__dynamic__gausmix__tau_0p25__lasttt_5000__exdqlm	NA	dynamic	gausmix	0.25	5000	default	exdqlm	in_scope	complete_reusable	skip	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__dynamic__gausmix__tau_0p95__lasttt_500__dqlm	model_path	root__dynamic__gausmix__tau_0p95__lasttt_500	mp__root__dynamic__gausmix__tau_0p95__lasttt_500__dqlm	NA	dynamic	gausmix	0.95	500	default	dqlm	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__gausmix__tau_0p95__lasttt_500__exdqlm	model_path	root__dynamic__gausmix__tau_0p95__lasttt_500	mp__root__dynamic__gausmix__tau_0p95__lasttt_500__exdqlm	NA	dynamic	gausmix	0.95	500	default	exdqlm	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__dqlm	model_path	root__dynamic__gausmix__tau_0p95__lasttt_5000	mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__dqlm	NA	dynamic	gausmix	0.95	5000	default	dqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__exdqlm	model_path	root__dynamic__gausmix__tau_0p95__lasttt_5000	mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__exdqlm	NA	dynamic	gausmix	0.95	5000	default	exdqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p05__lasttt_500__dqlm	model_path	root__dynamic__laplace__tau_0p05__lasttt_500	mp__root__dynamic__laplace__tau_0p05__lasttt_500__dqlm	NA	dynamic	laplace	0.05	500	default	dqlm	in_scope	complete_reusable	skip	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__dynamic__laplace__tau_0p05__lasttt_500__exdqlm	model_path	root__dynamic__laplace__tau_0p05__lasttt_500	mp__root__dynamic__laplace__tau_0p05__lasttt_500__exdqlm	NA	dynamic	laplace	0.05	500	default	exdqlm	in_scope	complete_reusable	skip	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__dynamic__laplace__tau_0p05__lasttt_5000__dqlm	model_path	root__dynamic__laplace__tau_0p05__lasttt_5000	mp__root__dynamic__laplace__tau_0p05__lasttt_5000__dqlm	NA	dynamic	laplace	0.05	5000	default	dqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p05__lasttt_5000__exdqlm	model_path	root__dynamic__laplace__tau_0p05__lasttt_5000	mp__root__dynamic__laplace__tau_0p05__lasttt_5000__exdqlm	NA	dynamic	laplace	0.05	5000	default	exdqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p25__lasttt_500__dqlm	model_path	root__dynamic__laplace__tau_0p25__lasttt_500	mp__root__dynamic__laplace__tau_0p25__lasttt_500__dqlm	NA	dynamic	laplace	0.25	500	default	dqlm	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p25__lasttt_500__exdqlm	model_path	root__dynamic__laplace__tau_0p25__lasttt_500	mp__root__dynamic__laplace__tau_0p25__lasttt_500__exdqlm	NA	dynamic	laplace	0.25	500	default	exdqlm	in_scope	complete_reusable	skip	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__dynamic__laplace__tau_0p25__lasttt_5000__dqlm	model_path	root__dynamic__laplace__tau_0p25__lasttt_5000	mp__root__dynamic__laplace__tau_0p25__lasttt_5000__dqlm	NA	dynamic	laplace	0.25	5000	default	dqlm	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p25__lasttt_5000__exdqlm	model_path	root__dynamic__laplace__tau_0p25__lasttt_5000	mp__root__dynamic__laplace__tau_0p25__lasttt_5000__exdqlm	NA	dynamic	laplace	0.25	5000	default	exdqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p95__lasttt_500__dqlm	model_path	root__dynamic__laplace__tau_0p95__lasttt_500	mp__root__dynamic__laplace__tau_0p95__lasttt_500__dqlm	NA	dynamic	laplace	0.95	500	default	dqlm	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p95__lasttt_500__exdqlm	model_path	root__dynamic__laplace__tau_0p95__lasttt_500	mp__root__dynamic__laplace__tau_0p95__lasttt_500__exdqlm	NA	dynamic	laplace	0.95	500	default	exdqlm	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p95__lasttt_5000__dqlm	model_path	root__dynamic__laplace__tau_0p95__lasttt_5000	mp__root__dynamic__laplace__tau_0p95__lasttt_5000__dqlm	NA	dynamic	laplace	0.95	5000	default	dqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p95__lasttt_5000__exdqlm	model_path	root__dynamic__laplace__tau_0p95__lasttt_5000	mp__root__dynamic__laplace__tau_0p95__lasttt_5000__exdqlm	NA	dynamic	laplace	0.95	5000	default	exdqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p05__lasttt_500__dqlm	model_path	root__dynamic__normal__tau_0p05__lasttt_500	mp__root__dynamic__normal__tau_0p05__lasttt_500__dqlm	NA	dynamic	normal	0.05	500	default	dqlm	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p05__lasttt_500__exdqlm	model_path	root__dynamic__normal__tau_0p05__lasttt_500	mp__root__dynamic__normal__tau_0p05__lasttt_500__exdqlm	NA	dynamic	normal	0.05	500	default	exdqlm	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p05__lasttt_5000__dqlm	model_path	root__dynamic__normal__tau_0p05__lasttt_5000	mp__root__dynamic__normal__tau_0p05__lasttt_5000__dqlm	NA	dynamic	normal	0.05	5000	default	dqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p05__lasttt_5000__exdqlm	model_path	root__dynamic__normal__tau_0p05__lasttt_5000	mp__root__dynamic__normal__tau_0p05__lasttt_5000__exdqlm	NA	dynamic	normal	0.05	5000	default	exdqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p25__lasttt_500__dqlm	model_path	root__dynamic__normal__tau_0p25__lasttt_500	mp__root__dynamic__normal__tau_0p25__lasttt_500__dqlm	NA	dynamic	normal	0.25	500	default	dqlm	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p25__lasttt_500__exdqlm	model_path	root__dynamic__normal__tau_0p25__lasttt_500	mp__root__dynamic__normal__tau_0p25__lasttt_500__exdqlm	NA	dynamic	normal	0.25	500	default	exdqlm	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p25__lasttt_5000__dqlm	model_path	root__dynamic__normal__tau_0p25__lasttt_5000	mp__root__dynamic__normal__tau_0p25__lasttt_5000__dqlm	NA	dynamic	normal	0.25	5000	default	dqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p25__lasttt_5000__exdqlm	model_path	root__dynamic__normal__tau_0p25__lasttt_5000	mp__root__dynamic__normal__tau_0p25__lasttt_5000__exdqlm	NA	dynamic	normal	0.25	5000	default	exdqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p95__lasttt_500__dqlm	model_path	root__dynamic__normal__tau_0p95__lasttt_500	mp__root__dynamic__normal__tau_0p95__lasttt_500__dqlm	NA	dynamic	normal	0.95	500	default	dqlm	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p95__lasttt_500__exdqlm	model_path	root__dynamic__normal__tau_0p95__lasttt_500	mp__root__dynamic__normal__tau_0p95__lasttt_500__exdqlm	NA	dynamic	normal	0.95	500	default	exdqlm	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p95__lasttt_5000__dqlm	model_path	root__dynamic__normal__tau_0p95__lasttt_5000	mp__root__dynamic__normal__tau_0p95__lasttt_5000__dqlm	NA	dynamic	normal	0.95	5000	default	dqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__normal__tau_0p95__lasttt_5000__exdqlm	model_path	root__dynamic__normal__tau_0p95__lasttt_5000	mp__root__dynamic__normal__tau_0p95__lasttt_5000__exdqlm	NA	dynamic	normal	0.95	5000	default	exdqlm	in_scope	partial_stale	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__gausmix__tau_0p05__tt_100__al	model_path	root__static_paper__gausmix__tau_0p05__tt_100	mp__root__static_paper__gausmix__tau_0p05__tt_100__al	NA	static_paper	gausmix	0.05	100	paper	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_paper__gausmix__tau_0p05__tt_100__exal	model_path	root__static_paper__gausmix__tau_0p05__tt_100	mp__root__static_paper__gausmix__tau_0p05__tt_100__exal	NA	static_paper	gausmix	0.05	100	paper	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_paper__gausmix__tau_0p05__tt_1000__al	model_path	root__static_paper__gausmix__tau_0p05__tt_1000	mp__root__static_paper__gausmix__tau_0p05__tt_1000__al	NA	static_paper	gausmix	0.05	1000	paper	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_paper__gausmix__tau_0p05__tt_1000__exal	model_path	root__static_paper__gausmix__tau_0p05__tt_1000	mp__root__static_paper__gausmix__tau_0p05__tt_1000__exal	NA	static_paper	gausmix	0.05	1000	paper	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_paper__gausmix__tau_0p25__tt_100__al	model_path	root__static_paper__gausmix__tau_0p25__tt_100	mp__root__static_paper__gausmix__tau_0p25__tt_100__al	NA	static_paper	gausmix	0.25	100	paper	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_paper__gausmix__tau_0p25__tt_100__exal	model_path	root__static_paper__gausmix__tau_0p25__tt_100	mp__root__static_paper__gausmix__tau_0p25__tt_100__exal	NA	static_paper	gausmix	0.25	100	paper	exal	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__gausmix__tau_0p25__tt_1000__al	model_path	root__static_paper__gausmix__tau_0p25__tt_1000	mp__root__static_paper__gausmix__tau_0p25__tt_1000__al	NA	static_paper	gausmix	0.25	1000	paper	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_paper__gausmix__tau_0p25__tt_1000__exal	model_path	root__static_paper__gausmix__tau_0p25__tt_1000	mp__root__static_paper__gausmix__tau_0p25__tt_1000__exal	NA	static_paper	gausmix	0.25	1000	paper	exal	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__gausmix__tau_0p95__tt_100__al	model_path	root__static_paper__gausmix__tau_0p95__tt_100	mp__root__static_paper__gausmix__tau_0p95__tt_100__al	NA	static_paper	gausmix	0.95	100	paper	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__gausmix__tau_0p95__tt_100__exal	model_path	root__static_paper__gausmix__tau_0p95__tt_100	mp__root__static_paper__gausmix__tau_0p95__tt_100__exal	NA	static_paper	gausmix	0.95	100	paper	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__gausmix__tau_0p95__tt_1000__al	model_path	root__static_paper__gausmix__tau_0p95__tt_1000	mp__root__static_paper__gausmix__tau_0p95__tt_1000__al	NA	static_paper	gausmix	0.95	1000	paper	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__gausmix__tau_0p95__tt_1000__exal	model_path	root__static_paper__gausmix__tau_0p95__tt_1000	mp__root__static_paper__gausmix__tau_0p95__tt_1000__exal	NA	static_paper	gausmix	0.95	1000	paper	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__laplace__tau_0p05__tt_100__al	model_path	root__static_paper__laplace__tau_0p05__tt_100	mp__root__static_paper__laplace__tau_0p05__tt_100__al	NA	static_paper	laplace	0.05	100	paper	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_paper__laplace__tau_0p05__tt_100__exal	model_path	root__static_paper__laplace__tau_0p05__tt_100	mp__root__static_paper__laplace__tau_0p05__tt_100__exal	NA	static_paper	laplace	0.05	100	paper	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_paper__laplace__tau_0p05__tt_1000__al	model_path	root__static_paper__laplace__tau_0p05__tt_1000	mp__root__static_paper__laplace__tau_0p05__tt_1000__al	NA	static_paper	laplace	0.05	1000	paper	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_paper__laplace__tau_0p05__tt_1000__exal	model_path	root__static_paper__laplace__tau_0p05__tt_1000	mp__root__static_paper__laplace__tau_0p05__tt_1000__exal	NA	static_paper	laplace	0.05	1000	paper	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_paper__laplace__tau_0p25__tt_100__al	model_path	root__static_paper__laplace__tau_0p25__tt_100	mp__root__static_paper__laplace__tau_0p25__tt_100__al	NA	static_paper	laplace	0.25	100	paper	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
