root_id	root_kind	family	tau	fit_size	prior	inference	model	signoff_reason	failure_bucket	moderate_relax_rescues	aggressive_relax_rescues	rescue_class
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	mcmc	exdqlm	low_ess; high_autocorrelation; half_chain_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	500	default	mcmc	exdqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	500	default	mcmc	dqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	5000	default	mcmc	exdqlm	half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	500	default	mcmc	exdqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	500	default	mcmc	dqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	5000	default	mcmc	exdqlm	half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	vb	exdqlm	ld_unstable; vb_converged_false; core_parameter_tail_unstable	soft_only	FALSE	FALSE	needs_model_or_vb_debug
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	mcmc	exdqlm	high_autocorrelation; geweke_drift; half_chain_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	mcmc	dqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	5000	default	mcmc	exdqlm	low_ess; geweke_drift; half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	500	default	mcmc	exdqlm	geweke_drift	soft_only	FALSE	FALSE	needs_deeper_chain
root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	5000	default	mcmc	exdqlm	half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__dynamic__normal__tau_0p95__lasttt_500	dynamic	normal	0.95	500	default	mcmc	exdqlm	geweke_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_paper__gausmix__tau_0p05__tt_1000	static_paper	gausmix	0.05	1000	paper	mcmc	exal	low_ess; half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_paper__gausmix__tau_0p25__tt_100	static_paper	gausmix	0.25	100	paper	mcmc	exal	half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_paper__gausmix__tau_0p95__tt_100	static_paper	gausmix	0.95	100	paper	mcmc	exal	low_ess; geweke_drift; half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_paper__laplace__tau_0p25__tt_1000	static_paper	laplace	0.25	1000	paper	mcmc	exal	half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_paper__laplace__tau_0p95__tt_1000	static_paper	laplace	0.95	1000	paper	mcmc	exal	low_ess	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_paper__normal__tau_0p05__tt_1000	static_paper	normal	0.05	1000	paper	mcmc	exal	low_ess	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_paper__normal__tau_0p25__tt_1000	static_paper	normal	0.25	1000	paper	mcmc	exal	low_ess; half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_paper__normal__tau_0p95__tt_100	static_paper	normal	0.95	100	paper	mcmc	exal	low_ess; half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__gausmix__tau_0p05__tt_100__ridge	static_shrink	gausmix	0.05	100	ridge	mcmc	exal	half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	static_shrink	gausmix	0.25	1000	ridge	mcmc	exal	high_autocorrelation	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__gausmix__tau_0p95__tt_100__ridge	static_shrink	gausmix	0.95	100	ridge	mcmc	exal	half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	static_shrink	gausmix	0.95	1000	rhs	mcmc	exal	half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__laplace__tau_0p25__tt_1000__ridge	static_shrink	laplace	0.25	1000	ridge	mcmc	exal	low_ess; half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__laplace__tau_0p95__tt_100__rhs	static_shrink	laplace	0.95	100	rhs	mcmc	exal	half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__normal__tau_0p05__tt_100__ridge	static_shrink	normal	0.05	100	ridge	mcmc	exal	low_ess; half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__normal__tau_0p05__tt_1000__rhs	static_shrink	normal	0.05	1000	rhs	mcmc	exal	low_ess	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__normal__tau_0p05__tt_1000__ridge	static_shrink	normal	0.05	1000	ridge	mcmc	exal	high_autocorrelation	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__normal__tau_0p25__tt_1000__ridge	static_shrink	normal	0.25	1000	ridge	mcmc	exal	high_autocorrelation	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__normal__tau_0p95__tt_1000__rhs	static_shrink	normal	0.95	1000	rhs	mcmc	exal	low_ess; half_chain_drift	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
root__static_shrink__normal__tau_0p95__tt_1000__ridge	static_shrink	normal	0.95	1000	ridge	mcmc	exal	high_autocorrelation	soft_only	FALSE	TRUE	aggressive_policy_only_rescue
