"original_case_key","family","tau","fit_size","prior_semantics","model","inference","candidate_rows","distinct_gate_count","distinct_fit_path_count","candidate_subtypes","gates"
"static_shrink::laplace::0p05::1000::rhs::exal::vb","laplace","0p05",1000,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p25::100::rhs::al::mcmc","laplace","0p25",100,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p25::100::rhs::al::vb","laplace","0p25",100,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::laplace::0p25::100::rhs::exal::mcmc","laplace","0p25",100,"rhs","exal","mcmc",3,1,3,"static_refresh_nonfail; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p25::100::rhs::exal::vb","laplace","0p25",100,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","WARN"
"static_shrink::laplace::0p25::1000::rhs::al::mcmc","laplace","0p25",1000,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p25::1000::rhs::al::vb","laplace","0p25",1000,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::laplace::0p25::1000::rhs::exal::mcmc","laplace","0p25",1000,"rhs","exal","mcmc",2,1,2,"static_refresh_nonfail; static_residual_broad_default","WARN"
"static_shrink::laplace::0p25::1000::rhs::exal::vb","laplace","0p25",1000,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","WARN"
"static_shrink::laplace::0p95::100::rhs::al::mcmc","laplace","0p95",100,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p95::100::rhs::al::vb","laplace","0p95",100,"rhs","al","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p95::100::rhs::exal::mcmc","laplace","0p95",100,"rhs","exal","mcmc",2,1,2,"static_refresh_nonfail","PASS"
"static_shrink::laplace::0p95::100::rhs::exal::vb","laplace","0p95",100,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p95::1000::rhs::al::mcmc","laplace","0p95",1000,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p95::1000::rhs::al::vb","laplace","0p95",1000,"rhs","al","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::laplace::0p95::1000::rhs::exal::mcmc","laplace","0p95",1000,"rhs","exal","mcmc",3,1,2,"legacy_rhs_refresh; static_residual_broad_default","WARN"
"static_shrink::laplace::0p95::1000::rhs::exal::vb","laplace","0p95",1000,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p05::100::rhs::al::mcmc","normal","0p05",100,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p05::100::rhs::al::vb","normal","0p05",100,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::normal::0p05::100::rhs::exal::mcmc","normal","0p05",100,"rhs","exal","mcmc",2,1,2,"static_refresh_nonfail","WARN"
"static_shrink::normal::0p05::100::rhs::exal::vb","normal","0p05",100,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p05::100::ridge::exal::mcmc","normal","0p05",100,"ridge","exal","mcmc",2,1,2,"current_rhsns_impl_refresh; static_refresh_nonfail","WARN"
"static_shrink::normal::0p05::1000::rhs::al::mcmc","normal","0p05",1000,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p05::1000::rhs::al::vb","normal","0p05",1000,"rhs","al","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p05::1000::rhs::exal::mcmc","normal","0p05",1000,"rhs","exal","mcmc",2,1,2,"static_refresh_nonfail","WARN"
"static_shrink::normal::0p05::1000::rhs::exal::vb","normal","0p05",1000,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p25::100::rhs::al::mcmc","normal","0p25",100,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p25::100::rhs::al::vb","normal","0p25",100,"rhs","al","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p25::100::rhs::exal::mcmc","normal","0p25",100,"rhs","exal","mcmc",2,2,2,"static_refresh_nonfail; static_residual_broad_default","PASS; WARN"
"static_shrink::normal::0p25::100::rhs::exal::vb","normal","0p25",100,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","WARN"
"static_shrink::normal::0p25::1000::rhs::al::mcmc","normal","0p25",1000,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p25::1000::rhs::al::vb","normal","0p25",1000,"rhs","al","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p25::1000::rhs::exal::mcmc","normal","0p25",1000,"rhs","exal","mcmc",2,1,2,"static_local_override; static_refresh_nonfail","WARN"
"static_shrink::normal::0p25::1000::rhs::exal::vb","normal","0p25",1000,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","WARN"
"static_shrink::normal::0p95::100::rhs::al::mcmc","normal","0p95",100,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p95::100::rhs::al::vb","normal","0p95",100,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::normal::0p95::100::rhs::exal::mcmc","normal","0p95",100,"rhs","exal","mcmc",4,2,4,"static_residual_broad_default; current_rhsns_impl_refresh; static_refresh_nonfail; legacy_rhs_refresh","PASS; WARN"
"static_shrink::normal::0p95::100::rhs::exal::vb","normal","0p95",100,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p95::100::ridge::exal::mcmc","normal","0p95",100,"ridge","exal","mcmc",2,2,2,"static_local_override; current_rhsns_impl_refresh","PASS; WARN"
"static_shrink::normal::0p95::1000::rhs::al::mcmc","normal","0p95",1000,"rhs","al","mcmc",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
"static_shrink::normal::0p95::1000::rhs::al::vb","normal","0p95",1000,"rhs","al","vb",2,2,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS; WARN"
"static_shrink::normal::0p95::1000::rhs::exal::mcmc","normal","0p95",1000,"rhs","exal","mcmc",3,2,3,"static_refresh_nonfail; legacy_rhs_refresh","PASS; WARN"
"static_shrink::normal::0p95::1000::rhs::exal::vb","normal","0p95",1000,"rhs","exal","vb",2,1,2,"current_rhsns_impl_refresh; legacy_rhs_refresh","PASS"
