root_id	root_kind	family	tau	fit_size	prior	model	vb_signoff_grade	mcmc_signoff_grade	vb_comparison_eligible	mcmc_comparison_eligible	pair_signoff_grade	pair_comparison_eligible	runtime_ratio_mcmc_vs_vb	vb_runtime_sec	mcmc_runtime_sec	run_root
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	dqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	exdqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	dqlm	PASS	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	exdqlm	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	dqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	exdqlm	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	500	default	dqlm	PASS	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	500	default	exdqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	5000	default	dqlm	PASS	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	5000	default	exdqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	500	default	dqlm	PASS	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	500	default	exdqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	5000	default	dqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	5000	default	exdqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	dqlm	PASS	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	exdqlm	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	5000	default	dqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	5000	default	exdqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	500	default	dqlm	PASS	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	500	default	exdqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	5000	default	dqlm	PASS	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	5000	default	exdqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p95__lasttt_500	dynamic	normal	0.95	500	default	dqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p95__lasttt_500	dynamic	normal	0.95	500	default	exdqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p95__lasttt_5000	dynamic	normal	0.95	5000	default	dqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p95__lasttt_5000	dynamic	normal	0.95	5000	default	exdqlm	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__static_paper__gausmix__tau_0p05__tt_100	static_paper	gausmix	0.05	100	paper	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	631.421875	0.128	80.822	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p05__tt_100	static_paper	gausmix	0.05	100	paper	exal	WARN	WARN	TRUE	TRUE	WARN	TRUE	44.9108236895848	10.283	461.818	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p05__tt_1000	static_paper	gausmix	0.05	1000	paper	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	233.095652173913	0.345	80.418	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__gausmix__tau_0p05__tt_1000	static_paper	gausmix	0.05	1000	paper	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	19.4349910375589	23.989	466.226	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__gausmix__tau_0p25__tt_100	static_paper	gausmix	0.25	100	paper	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	1754.71428571429	0.0419999999999998	73.698	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p25__tt_100	static_paper	gausmix	0.25	100	paper	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	3.05771762382755	24.308	74.327	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p25__tt_1000	static_paper	gausmix	0.25	1000	paper	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	88.3156225218081	1.261	111.366	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__gausmix__tau_0p25__tt_1000	static_paper	gausmix	0.25	1000	paper	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	0.743957424123318	110.673	82.336	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__gausmix__tau_0p95__tt_100	static_paper	gausmix	0.95	100	paper	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	9.21739130434783	0.115	1.06	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p95__tt_100	static_paper	gausmix	0.95	100	paper	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	29.0466184001413	5.663	164.491	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p95__tt_1000	static_paper	gausmix	0.95	1000	paper	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	16.4747899159664	0.238	3.921	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__gausmix__tau_0p95__tt_1000	static_paper	gausmix	0.95	1000	paper	exal	WARN	WARN	TRUE	TRUE	WARN	TRUE	22.5694270703027	7.994	180.42	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p05__tt_100	static_paper	laplace	0.05	100	paper	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	34.7096774193552	0.0309999999999997	1.076	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p05__tt_100	static_paper	laplace	0.05	100	paper	exal	WARN	WARN	TRUE	TRUE	WARN	TRUE	11.1173590711988	14.298	158.956	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p05__tt_1000	static_paper	laplace	0.05	1000	paper	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	16.4905660377358	0.212	3.496	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p05__tt_1000	static_paper	laplace	0.05	1000	paper	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	21.4742176612188	7.893	169.496	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p25__tt_100	static_paper	laplace	0.25	100	paper	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	81.7857142857155	0.0139999999999998	1.145	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p25__tt_100	static_paper	laplace	0.25	100	paper	exal	FAIL	WARN	FALSE	TRUE	FAIL	FALSE	6.82957838646349	10.697	73.056	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p25__tt_1000	static_paper	laplace	0.25	1000	paper	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	61.7321428571429	0.056	3.457	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p25__tt_1000	static_paper	laplace	0.25	1000	paper	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	6.2975800156128	12.81	80.672	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p95__tt_100	static_paper	laplace	0.95	100	paper	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	8.63636363636364	0.121	1.045	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p95__tt_100	static_paper	laplace	0.95	100	paper	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	26.4705978438419	6.122	162.053	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p95__tt_1000	static_paper	laplace	0.95	1000	paper	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	15.992	0.25	3.998	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p95__tt_1000	static_paper	laplace	0.95	1000	paper	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	20.0517009847807	8.936	179.182	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__normal__tau_0p05__tt_100	static_paper	normal	0.05	100	paper	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	10.3814432989691	0.097	1.007	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__normal__tau_0p05__tt_100	static_paper	normal	0.05	100	paper	exal	WARN	WARN	TRUE	TRUE	WARN	TRUE	12.7410088927363	12.707	161.9	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__normal__tau_0p05__tt_1000	static_paper	normal	0.05	1000	paper	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	13.9877551020408	0.245	3.427	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__normal__tau_0p05__tt_1000	static_paper	normal	0.05	1000	paper	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	14.6235539845758	12.448	182.034	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__normal__tau_0p25__tt_100	static_paper	normal	0.25	100	paper	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	13.0126582278482	0.0789999999999997	1.028	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__normal__tau_0p25__tt_100	static_paper	normal	0.25	100	paper	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	5.9193018973661	12.491	73.938	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__normal__tau_0p25__tt_1000	static_paper	normal	0.25	1000	paper	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	31.4885496183206	0.131	4.125	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__normal__tau_0p25__tt_1000	static_paper	normal	0.25	1000	paper	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	6.13176539332408	13.691	83.95	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__normal__tau_0p95__tt_100	static_paper	normal	0.95	100	paper	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	9.32710280373832	0.107	0.998	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__normal__tau_0p95__tt_100	static_paper	normal	0.95	100	paper	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	8.89271968341736	18.447	164.044	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__normal__tau_0p95__tt_1000	static_paper	normal	0.95	1000	paper	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	15.0524017467249	0.229	3.447	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__normal__tau_0p95__tt_1000	static_paper	normal	0.95	1000	paper	exal	WARN	WARN	TRUE	TRUE	WARN	TRUE	15.2868572381032	11.999	183.427	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_shrink__gausmix__tau_0p05__tt_100__rhs	static_shrink	gausmix	0.05	100	rhs	al	WARN	WARN	TRUE	TRUE	WARN	TRUE	3.41725007343582	81.704	279.203	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__gausmix__tau_0p05__tt_100__rhs	static_shrink	gausmix	0.05	100	rhs	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	24.4929332890406	66.226	1622.069	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__gausmix__tau_0p05__tt_100__ridge	static_shrink	gausmix	0.05	100	ridge	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	479.549707602339	0.171	82.003	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__gausmix__tau_0p05__tt_100__ridge	static_shrink	gausmix	0.05	100	ridge	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	22.0941085719796	20.742	458.276	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	static_shrink	gausmix	0.05	1000	rhs	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	10.7439993577908	37.371	401.514	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	static_shrink	gausmix	0.05	1000	rhs	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	38.2497258342472	63.83	2441.48	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	static_shrink	gausmix	0.05	1000	ridge	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	85.4652945924132	2.478	211.783	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	static_shrink	gausmix	0.05	1000	ridge	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	57.4019750217833	13.772	790.54	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__gausmix__tau_0p25__tt_100__rhs	static_shrink	gausmix	0.25	100	rhs	al	WARN	PASS	TRUE	TRUE	WARN	TRUE	4.42521082576905	419.185	1854.982	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__gausmix__tau_0p25__tt_100__rhs	static_shrink	gausmix	0.25	100	rhs	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	0.0917840095391972	812.647	74.588	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__gausmix__tau_0p25__tt_100__ridge	static_shrink	gausmix	0.25	100	ridge	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	1882.84905660378	0.0529999999999999	99.791	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__gausmix__tau_0p25__tt_100__ridge	static_shrink	gausmix	0.25	100	ridge	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	2.32778270229201	31.588	73.53	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	static_shrink	gausmix	0.25	1000	rhs	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	58.4547153856424	44.938	2626.838	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	static_shrink	gausmix	0.25	1000	rhs	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	0.088359270919073	942.776	83.303	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
