"method_profile_id","row_id","base_row_id","original_case_key","ts_start","ts_end","status","error","gate_overall","healthy","runtime_sec","phase","block","root_kind","family","tau_label","fit_size","prior_semantics","model","inference","seed","candidate_fit_path","vb_init_fit_path","health_csv","metrics_csv","draws_rds","runtime_mode","recommended_rerun_lane","recommended_secondary_arm","snapshot_time","current_vb_max_iter","current_vb_min_iter","current_vb_tol","current_vb_n_samp_internal","current_sigmagam_vb_warmup_iters","current_sigmagam_vb_min_postwarmup_updates","current_vb_init_max_iter","current_vb_init_min_iter","current_vb_init_tol","current_vb_init_n_samp","current_vb_init_sigmagam_warmup_iters","current_vb_init_sigmagam_min_postwarmup_updates","current_n_burn","current_n_mcmc","current_sigmagam_mcmc_warmup_iters","current_mh_proposal","current_slice_width","current_slice_max_steps","vb_init_exists","vb_init_fit_class","vb_init_iter","vb_init_converged","vb_init_theta_finite","vb_init_post_pred_finite","vb_init_sfe_finite","vb_init_sigma_min","vb_init_sigma_max","vb_init_gamma_min","vb_init_gamma_max"
"dynamic__dqlm__mcmc",38,38,"dynamic::laplace::0p25::5000::default::dqlm::mcmc","2026-04-18 16:26:57.200364","2026-04-18 16:26:57.200561","failed_runtime","dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=79.0631 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","laplace","0p25",5000,"default","dqlm","mcmc",204532,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0038_dynamic_laplace_0p25_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0038_dynamic_laplace_0p25_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0038_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0038_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0038_draws.rds","invalid_pre_chi","dynamic_mcmc_dqlm_runtime_rerun",,"2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB|exdqlm",300,,TRUE,TRUE,TRUE,76.2776225806983,82.6893129378426,,
"dynamic__exdqlm__mcmc",40,40,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc","2026-04-18 16:41:30.123684","2026-04-18 16:41:30.123931","failed_runtime","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","laplace","0p25",5000,"default","exdqlm","mcmc",215416,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0040_dynamic_laplace_0p25_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0040_dynamic_laplace_0p25_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0040_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0040_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0040_draws.rds","nonfinite_chi","dynamic_mcmc_exdqlm_runtime_rerun","secondary_exdqlm_slice_width_sensitivity","2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB",300,FALSE,FALSE,FALSE,FALSE,0.0360150084413669,21.481437490833,-0.133638878382697,2.84328952726831
"dynamic__dqlm__mcmc",46,46,"dynamic::laplace::0p50::5000::default::dqlm::mcmc","2026-04-18 16:52:45.882052","2026-04-18 16:52:45.88223","failed_runtime","dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=153.994 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","laplace","0p50",5000,"default","dqlm","mcmc",204485,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0046_dynamic_laplace_0p50_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0046_dynamic_laplace_0p50_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0046_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0046_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0046_draws.rds","invalid_pre_chi","dynamic_mcmc_dqlm_runtime_rerun",,"2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB|exdqlm",89,,TRUE,TRUE,TRUE,148.373555757676,159.612114935754,,
"dynamic__exdqlm__mcmc",48,48,"dynamic::laplace::0p50::5000::default::exdqlm::mcmc","2026-04-18 17:30:22.739822","2026-04-18 17:30:22.740004","failed_runtime","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","laplace","0p50",5000,"default","exdqlm","mcmc",215369,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0048_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0048_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0048_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0048_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0048_draws.rds","nonfinite_chi","dynamic_mcmc_exdqlm_runtime_rerun","secondary_exdqlm_slice_width_sensitivity","2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB",300,FALSE,FALSE,FALSE,FALSE,0.0365685855525311,22.0367277702717,-0.914419955261053,1.05115979148983
"dynamic__dqlm__mcmc",54,54,"dynamic::normal::0p05::5000::default::dqlm::mcmc","2026-04-18 17:50:32.790269","2026-04-18 17:50:32.790441","failed_runtime","dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=6.31696 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","normal","0p05",5000,"default","dqlm","mcmc",200595,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0054_dynamic_normal_0p05_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0054_dynamic_normal_0p05_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0054_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0054_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0054_draws.rds","invalid_pre_chi","dynamic_mcmc_dqlm_runtime_rerun",,"2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB|exdqlm",300,,TRUE,TRUE,TRUE,6.08332121333701,6.55379236323825,,
"dynamic__exdqlm__mcmc",56,56,"dynamic::normal::0p05::5000::default::exdqlm::mcmc","2026-04-18 18:09:54.913202","2026-04-18 18:09:54.913388","failed_runtime","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","normal","0p05",5000,"default","exdqlm","mcmc",211258,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0056_dynamic_normal_0p05_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0056_dynamic_normal_0p05_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0056_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0056_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0056_draws.rds","nonfinite_chi","dynamic_mcmc_exdqlm_runtime_rerun","secondary_exdqlm_slice_width_sensitivity","2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB",300,FALSE,FALSE,FALSE,FALSE,0.0203072880990867,15.8897840558065,0.399188853147589,15.480646078995
"dynamic__dqlm__mcmc",62,62,"dynamic::normal::0p25::5000::default::dqlm::mcmc","2026-04-18 18:33:31.678963","2026-04-18 18:33:31.679173","failed_runtime","dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=22.7787 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","normal","0p25",5000,"default","dqlm","mcmc",200635,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0062_dynamic_normal_0p25_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0062_dynamic_normal_0p25_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0062_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0062_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0062_draws.rds","invalid_pre_chi","dynamic_mcmc_dqlm_runtime_rerun",,"2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB|exdqlm",300,,TRUE,TRUE,TRUE,22.0164908311439,23.7049518307369,,
"dynamic__exdqlm__mcmc",64,64,"dynamic::normal::0p25::5000::default::exdqlm::mcmc","2026-04-18 18:47:44.275293","2026-04-18 18:47:44.275495","failed_runtime","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","normal","0p25",5000,"default","exdqlm","mcmc",211298,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0064_dynamic_normal_0p25_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0064_dynamic_normal_0p25_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0064_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0064_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0064_draws.rds","nonfinite_chi","dynamic_mcmc_exdqlm_runtime_rerun","secondary_exdqlm_slice_width_sensitivity","2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB",300,FALSE,FALSE,FALSE,FALSE,0.0392223544233579,20.0382624975916,-0.186914723653031,2.83990252076169
"dynamic__dqlm__mcmc",70,70,"dynamic::normal::0p50::5000::default::dqlm::mcmc","2026-04-18 18:26:05.257183","2026-04-18 18:26:05.25741","failed_runtime","dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=38.2583 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","normal","0p50",5000,"default","dqlm","mcmc",200590,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0070_dynamic_normal_0p50_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0070_dynamic_normal_0p50_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0070_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0070_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0070_draws.rds","invalid_pre_chi","dynamic_mcmc_dqlm_runtime_rerun",,"2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB|exdqlm",300,,TRUE,TRUE,TRUE,36.9163065045504,39.4062361278319,,
"dynamic__exdqlm__mcmc",72,72,"dynamic::normal::0p50::5000::default::exdqlm::mcmc","2026-04-18 18:26:12.644774","2026-04-18 18:26:12.64509","failed_runtime","exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","FAIL",FALSE,,"full_dynamic_mcmc","dynamic","dynamic","normal","0p50",5000,"default","exdqlm","mcmc",211253,"tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0072_dynamic_normal_0p50_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0072_dynamic_normal_0p50_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0072_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0072_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/draws/row_0072_draws.rds","nonfinite_chi","dynamic_mcmc_exdqlm_runtime_rerun","secondary_exdqlm_slice_width_sensitivity","2026-04-18 19:14:14 EDT",,,,,,,300,,0.03,1000,10,1,5000,20000,50,"slice",0.1,Inf,"exists","exdqlmLDVB",300,FALSE,FALSE,FALSE,FALSE,0.0525043027606638,24.0361301241568,-0.997038571472832,1.05493918017207
