"base_row_id","original_case_key","seed_slot","seed","phase"
8,"dynamic::gausmix::0p05::5000::default::exdqlm::vb",1,205921,"full_dynamic_vb"
8,"dynamic::gausmix::0p05::5000::default::exdqlm::vb",2,206022,"full_dynamic_vb"
8,"dynamic::gausmix::0p05::5000::default::exdqlm::vb",3,206930,"full_dynamic_vb"
8,"dynamic::gausmix::0p05::5000::default::exdqlm::vb",4,215928,"full_dynamic_vb"
9,"dynamic::gausmix::0p25::500::default::dqlm::mcmc",1,201916,"full_dynamic_mcmc"
9,"dynamic::gausmix::0p25::500::default::dqlm::mcmc",2,202017,"full_dynamic_mcmc"
9,"dynamic::gausmix::0p25::500::default::dqlm::mcmc",3,202925,"full_dynamic_mcmc"
9,"dynamic::gausmix::0p25::500::default::dqlm::mcmc",4,211923,"full_dynamic_mcmc"
10,"dynamic::gausmix::0p25::500::default::dqlm::vb",1,192400,"full_dynamic_vb"
10,"dynamic::gausmix::0p25::500::default::dqlm::vb",2,192501,"full_dynamic_vb"
10,"dynamic::gausmix::0p25::500::default::dqlm::vb",3,193409,"full_dynamic_vb"
10,"dynamic::gausmix::0p25::500::default::dqlm::vb",4,202407,"full_dynamic_vb"
11,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc",1,202604060,"full_dynamic_mcmc"
11,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc",2,202604161,"full_dynamic_mcmc"
11,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc",3,202605069,"full_dynamic_mcmc"
11,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc",4,202614067,"full_dynamic_mcmc"
12,"dynamic::gausmix::0p25::500::default::exdqlm::vb",1,202663,"full_dynamic_vb"
12,"dynamic::gausmix::0p25::500::default::exdqlm::vb",2,202764,"full_dynamic_vb"
12,"dynamic::gausmix::0p25::500::default::exdqlm::vb",3,203672,"full_dynamic_vb"
12,"dynamic::gausmix::0p25::500::default::exdqlm::vb",4,212670,"full_dynamic_vb"
13,"dynamic::gausmix::0p25::5000::default::dqlm::mcmc",1,205195,"full_dynamic_mcmc"
13,"dynamic::gausmix::0p25::5000::default::dqlm::mcmc",2,205296,"full_dynamic_mcmc"
13,"dynamic::gausmix::0p25::5000::default::dqlm::mcmc",3,206204,"full_dynamic_mcmc"
13,"dynamic::gausmix::0p25::5000::default::dqlm::mcmc",4,215202,"full_dynamic_mcmc"
14,"dynamic::gausmix::0p25::5000::default::dqlm::vb",1,195479,"full_dynamic_vb"
14,"dynamic::gausmix::0p25::5000::default::dqlm::vb",2,195580,"full_dynamic_vb"
14,"dynamic::gausmix::0p25::5000::default::dqlm::vb",3,196488,"full_dynamic_vb"
14,"dynamic::gausmix::0p25::5000::default::dqlm::vb",4,205486,"full_dynamic_vb"
15,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc",1,216079,"full_dynamic_mcmc"
15,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc",2,216180,"full_dynamic_mcmc"
15,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc",3,217088,"full_dynamic_mcmc"
15,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc",4,226086,"full_dynamic_mcmc"
16,"dynamic::gausmix::0p25::5000::default::exdqlm::vb",1,205963,"full_dynamic_vb"
16,"dynamic::gausmix::0p25::5000::default::exdqlm::vb",2,206064,"full_dynamic_vb"
16,"dynamic::gausmix::0p25::5000::default::exdqlm::vb",3,206972,"full_dynamic_vb"
16,"dynamic::gausmix::0p25::5000::default::exdqlm::vb",4,215970,"full_dynamic_vb"
17,"dynamic::gausmix::0p95::500::default::dqlm::mcmc",1,202063,"full_dynamic_mcmc"
17,"dynamic::gausmix::0p95::500::default::dqlm::mcmc",2,202164,"full_dynamic_mcmc"
17,"dynamic::gausmix::0p95::500::default::dqlm::mcmc",3,203072,"full_dynamic_mcmc"
17,"dynamic::gausmix::0p95::500::default::dqlm::mcmc",4,212070,"full_dynamic_mcmc"
18,"dynamic::gausmix::0p95::500::default::dqlm::vb",1,192547,"full_dynamic_vb"
18,"dynamic::gausmix::0p95::500::default::dqlm::vb",2,192648,"full_dynamic_vb"
18,"dynamic::gausmix::0p95::500::default::dqlm::vb",3,193556,"full_dynamic_vb"
18,"dynamic::gausmix::0p95::500::default::dqlm::vb",4,202554,"full_dynamic_vb"
19,"dynamic::gausmix::0p95::500::default::exdqlm::mcmc",1,2026032719,"full_dynamic_mcmc"
19,"dynamic::gausmix::0p95::500::default::exdqlm::mcmc",2,2026032820,"full_dynamic_mcmc"
19,"dynamic::gausmix::0p95::500::default::exdqlm::mcmc",3,2026033728,"full_dynamic_mcmc"
19,"dynamic::gausmix::0p95::500::default::exdqlm::mcmc",4,2026042726,"full_dynamic_mcmc"
20,"dynamic::gausmix::0p95::500::default::exdqlm::vb",1,202810,"full_dynamic_vb"
20,"dynamic::gausmix::0p95::500::default::exdqlm::vb",2,202911,"full_dynamic_vb"
20,"dynamic::gausmix::0p95::500::default::exdqlm::vb",3,203819,"full_dynamic_vb"
20,"dynamic::gausmix::0p95::500::default::exdqlm::vb",4,212817,"full_dynamic_vb"
21,"dynamic::gausmix::0p95::5000::default::dqlm::mcmc",1,205342,"full_dynamic_mcmc"
21,"dynamic::gausmix::0p95::5000::default::dqlm::mcmc",2,205443,"full_dynamic_mcmc"
21,"dynamic::gausmix::0p95::5000::default::dqlm::mcmc",3,206351,"full_dynamic_mcmc"
21,"dynamic::gausmix::0p95::5000::default::dqlm::mcmc",4,215349,"full_dynamic_mcmc"
22,"dynamic::gausmix::0p95::5000::default::dqlm::vb",1,195626,"full_dynamic_vb"
22,"dynamic::gausmix::0p95::5000::default::dqlm::vb",2,195727,"full_dynamic_vb"
22,"dynamic::gausmix::0p95::5000::default::dqlm::vb",3,196635,"full_dynamic_vb"
22,"dynamic::gausmix::0p95::5000::default::dqlm::vb",4,205633,"full_dynamic_vb"
23,"dynamic::gausmix::0p95::5000::default::exdqlm::mcmc",1,216226,"full_dynamic_mcmc"
23,"dynamic::gausmix::0p95::5000::default::exdqlm::mcmc",2,216327,"full_dynamic_mcmc"
23,"dynamic::gausmix::0p95::5000::default::exdqlm::mcmc",3,217235,"full_dynamic_mcmc"
23,"dynamic::gausmix::0p95::5000::default::exdqlm::mcmc",4,226233,"full_dynamic_mcmc"
24,"dynamic::gausmix::0p95::5000::default::exdqlm::vb",1,206110,"full_dynamic_vb"
24,"dynamic::gausmix::0p95::5000::default::exdqlm::vb",2,206211,"full_dynamic_vb"
24,"dynamic::gausmix::0p95::5000::default::exdqlm::vb",3,207119,"full_dynamic_vb"
24,"dynamic::gausmix::0p95::5000::default::exdqlm::vb",4,216117,"full_dynamic_vb"
25,"dynamic::laplace::0p05::500::default::dqlm::mcmc",1,201211,"full_dynamic_mcmc"
25,"dynamic::laplace::0p05::500::default::dqlm::mcmc",2,201312,"full_dynamic_mcmc"
25,"dynamic::laplace::0p05::500::default::dqlm::mcmc",3,202220,"full_dynamic_mcmc"
25,"dynamic::laplace::0p05::500::default::dqlm::mcmc",4,211218,"full_dynamic_mcmc"
26,"dynamic::laplace::0p05::500::default::dqlm::vb",1,191695,"full_dynamic_vb"
26,"dynamic::laplace::0p05::500::default::dqlm::vb",2,191796,"full_dynamic_vb"
26,"dynamic::laplace::0p05::500::default::dqlm::vb",3,192704,"full_dynamic_vb"
26,"dynamic::laplace::0p05::500::default::dqlm::vb",4,201702,"full_dynamic_vb"
27,"dynamic::laplace::0p05::500::default::exdqlm::mcmc",1,202604060,"full_dynamic_mcmc"
27,"dynamic::laplace::0p05::500::default::exdqlm::mcmc",2,202604161,"full_dynamic_mcmc"
27,"dynamic::laplace::0p05::500::default::exdqlm::mcmc",3,202605069,"full_dynamic_mcmc"
27,"dynamic::laplace::0p05::500::default::exdqlm::mcmc",4,202614067,"full_dynamic_mcmc"
28,"dynamic::laplace::0p05::500::default::exdqlm::vb",1,201958,"full_dynamic_vb"
28,"dynamic::laplace::0p05::500::default::exdqlm::vb",2,202059,"full_dynamic_vb"
28,"dynamic::laplace::0p05::500::default::exdqlm::vb",3,202967,"full_dynamic_vb"
28,"dynamic::laplace::0p05::500::default::exdqlm::vb",4,211965,"full_dynamic_vb"
29,"dynamic::laplace::0p05::5000::default::dqlm::mcmc",1,204490,"full_dynamic_mcmc"
29,"dynamic::laplace::0p05::5000::default::dqlm::mcmc",2,204591,"full_dynamic_mcmc"
29,"dynamic::laplace::0p05::5000::default::dqlm::mcmc",3,205499,"full_dynamic_mcmc"
29,"dynamic::laplace::0p05::5000::default::dqlm::mcmc",4,214497,"full_dynamic_mcmc"
30,"dynamic::laplace::0p05::5000::default::dqlm::vb",1,194774,"full_dynamic_vb"
30,"dynamic::laplace::0p05::5000::default::dqlm::vb",2,194875,"full_dynamic_vb"
30,"dynamic::laplace::0p05::5000::default::dqlm::vb",3,195783,"full_dynamic_vb"
30,"dynamic::laplace::0p05::5000::default::dqlm::vb",4,204781,"full_dynamic_vb"
31,"dynamic::laplace::0p05::5000::default::exdqlm::mcmc",1,215374,"full_dynamic_mcmc"
31,"dynamic::laplace::0p05::5000::default::exdqlm::mcmc",2,215475,"full_dynamic_mcmc"
31,"dynamic::laplace::0p05::5000::default::exdqlm::mcmc",3,216383,"full_dynamic_mcmc"
31,"dynamic::laplace::0p05::5000::default::exdqlm::mcmc",4,225381,"full_dynamic_mcmc"
32,"dynamic::laplace::0p05::5000::default::exdqlm::vb",1,205258,"full_dynamic_vb"
32,"dynamic::laplace::0p05::5000::default::exdqlm::vb",2,205359,"full_dynamic_vb"
32,"dynamic::laplace::0p05::5000::default::exdqlm::vb",3,206267,"full_dynamic_vb"
32,"dynamic::laplace::0p05::5000::default::exdqlm::vb",4,215265,"full_dynamic_vb"
33,"dynamic::laplace::0p25::500::default::dqlm::mcmc",1,201253,"full_dynamic_mcmc"
33,"dynamic::laplace::0p25::500::default::dqlm::mcmc",2,201354,"full_dynamic_mcmc"
33,"dynamic::laplace::0p25::500::default::dqlm::mcmc",3,202262,"full_dynamic_mcmc"
33,"dynamic::laplace::0p25::500::default::dqlm::mcmc",4,211260,"full_dynamic_mcmc"
34,"dynamic::laplace::0p25::500::default::dqlm::vb",1,191737,"full_dynamic_vb"
34,"dynamic::laplace::0p25::500::default::dqlm::vb",2,191838,"full_dynamic_vb"
34,"dynamic::laplace::0p25::500::default::dqlm::vb",3,192746,"full_dynamic_vb"
34,"dynamic::laplace::0p25::500::default::dqlm::vb",4,201744,"full_dynamic_vb"
35,"dynamic::laplace::0p25::500::default::exdqlm::mcmc",1,211916,"full_dynamic_mcmc"
35,"dynamic::laplace::0p25::500::default::exdqlm::mcmc",2,212017,"full_dynamic_mcmc"
35,"dynamic::laplace::0p25::500::default::exdqlm::mcmc",3,212925,"full_dynamic_mcmc"
35,"dynamic::laplace::0p25::500::default::exdqlm::mcmc",4,221923,"full_dynamic_mcmc"
36,"dynamic::laplace::0p25::500::default::exdqlm::vb",1,202000,"full_dynamic_vb"
36,"dynamic::laplace::0p25::500::default::exdqlm::vb",2,202101,"full_dynamic_vb"
36,"dynamic::laplace::0p25::500::default::exdqlm::vb",3,203009,"full_dynamic_vb"
36,"dynamic::laplace::0p25::500::default::exdqlm::vb",4,212007,"full_dynamic_vb"
37,"dynamic::laplace::0p25::5000::default::dqlm::mcmc",1,204532,"full_dynamic_mcmc"
37,"dynamic::laplace::0p25::5000::default::dqlm::mcmc",2,204633,"full_dynamic_mcmc"
37,"dynamic::laplace::0p25::5000::default::dqlm::mcmc",3,205541,"full_dynamic_mcmc"
37,"dynamic::laplace::0p25::5000::default::dqlm::mcmc",4,214539,"full_dynamic_mcmc"
38,"dynamic::laplace::0p25::5000::default::dqlm::vb",1,194816,"full_dynamic_vb"
38,"dynamic::laplace::0p25::5000::default::dqlm::vb",2,194917,"full_dynamic_vb"
38,"dynamic::laplace::0p25::5000::default::dqlm::vb",3,195825,"full_dynamic_vb"
38,"dynamic::laplace::0p25::5000::default::dqlm::vb",4,204823,"full_dynamic_vb"
39,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc",1,215416,"full_dynamic_mcmc"
39,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc",2,215517,"full_dynamic_mcmc"
39,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc",3,216425,"full_dynamic_mcmc"
39,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc",4,225423,"full_dynamic_mcmc"
40,"dynamic::laplace::0p25::5000::default::exdqlm::vb",1,205300,"full_dynamic_vb"
40,"dynamic::laplace::0p25::5000::default::exdqlm::vb",2,205401,"full_dynamic_vb"
40,"dynamic::laplace::0p25::5000::default::exdqlm::vb",3,206309,"full_dynamic_vb"
40,"dynamic::laplace::0p25::5000::default::exdqlm::vb",4,215307,"full_dynamic_vb"
41,"dynamic::laplace::0p95::500::default::dqlm::mcmc",1,201400,"full_dynamic_mcmc"
41,"dynamic::laplace::0p95::500::default::dqlm::mcmc",2,201501,"full_dynamic_mcmc"
41,"dynamic::laplace::0p95::500::default::dqlm::mcmc",3,202409,"full_dynamic_mcmc"
41,"dynamic::laplace::0p95::500::default::dqlm::mcmc",4,211407,"full_dynamic_mcmc"
42,"dynamic::laplace::0p95::500::default::dqlm::vb",1,191884,"full_dynamic_vb"
42,"dynamic::laplace::0p95::500::default::dqlm::vb",2,191985,"full_dynamic_vb"
42,"dynamic::laplace::0p95::500::default::dqlm::vb",3,192893,"full_dynamic_vb"
42,"dynamic::laplace::0p95::500::default::dqlm::vb",4,201891,"full_dynamic_vb"
43,"dynamic::laplace::0p95::500::default::exdqlm::mcmc",1,212063,"full_dynamic_mcmc"
43,"dynamic::laplace::0p95::500::default::exdqlm::mcmc",2,212164,"full_dynamic_mcmc"
43,"dynamic::laplace::0p95::500::default::exdqlm::mcmc",3,213072,"full_dynamic_mcmc"
43,"dynamic::laplace::0p95::500::default::exdqlm::mcmc",4,222070,"full_dynamic_mcmc"
44,"dynamic::laplace::0p95::500::default::exdqlm::vb",1,202147,"full_dynamic_vb"
44,"dynamic::laplace::0p95::500::default::exdqlm::vb",2,202248,"full_dynamic_vb"
44,"dynamic::laplace::0p95::500::default::exdqlm::vb",3,203156,"full_dynamic_vb"
44,"dynamic::laplace::0p95::500::default::exdqlm::vb",4,212154,"full_dynamic_vb"
45,"dynamic::laplace::0p95::5000::default::dqlm::mcmc",1,204679,"full_dynamic_mcmc"
45,"dynamic::laplace::0p95::5000::default::dqlm::mcmc",2,204780,"full_dynamic_mcmc"
45,"dynamic::laplace::0p95::5000::default::dqlm::mcmc",3,205688,"full_dynamic_mcmc"
45,"dynamic::laplace::0p95::5000::default::dqlm::mcmc",4,214686,"full_dynamic_mcmc"
46,"dynamic::laplace::0p95::5000::default::dqlm::vb",1,194963,"full_dynamic_vb"
46,"dynamic::laplace::0p95::5000::default::dqlm::vb",2,195064,"full_dynamic_vb"
46,"dynamic::laplace::0p95::5000::default::dqlm::vb",3,195972,"full_dynamic_vb"
46,"dynamic::laplace::0p95::5000::default::dqlm::vb",4,204970,"full_dynamic_vb"
47,"dynamic::laplace::0p95::5000::default::exdqlm::mcmc",1,215563,"full_dynamic_mcmc"
47,"dynamic::laplace::0p95::5000::default::exdqlm::mcmc",2,215664,"full_dynamic_mcmc"
47,"dynamic::laplace::0p95::5000::default::exdqlm::mcmc",3,216572,"full_dynamic_mcmc"
47,"dynamic::laplace::0p95::5000::default::exdqlm::mcmc",4,225570,"full_dynamic_mcmc"
48,"dynamic::laplace::0p95::5000::default::exdqlm::vb",1,205447,"full_dynamic_vb"
48,"dynamic::laplace::0p95::5000::default::exdqlm::vb",2,205548,"full_dynamic_vb"
48,"dynamic::laplace::0p95::5000::default::exdqlm::vb",3,206456,"full_dynamic_vb"
48,"dynamic::laplace::0p95::5000::default::exdqlm::vb",4,215454,"full_dynamic_vb"
49,"dynamic::normal::0p05::500::default::dqlm::mcmc",1,197364,"full_dynamic_mcmc"
49,"dynamic::normal::0p05::500::default::dqlm::mcmc",2,197465,"full_dynamic_mcmc"
49,"dynamic::normal::0p05::500::default::dqlm::mcmc",3,198373,"full_dynamic_mcmc"
49,"dynamic::normal::0p05::500::default::dqlm::mcmc",4,207371,"full_dynamic_mcmc"
50,"dynamic::normal::0p05::500::default::dqlm::vb",1,188048,"full_dynamic_vb"
50,"dynamic::normal::0p05::500::default::dqlm::vb",2,188149,"full_dynamic_vb"
50,"dynamic::normal::0p05::500::default::dqlm::vb",3,189057,"full_dynamic_vb"
50,"dynamic::normal::0p05::500::default::dqlm::vb",4,198055,"full_dynamic_vb"
51,"dynamic::normal::0p05::500::default::exdqlm::mcmc",1,202604060,"full_dynamic_mcmc"
51,"dynamic::normal::0p05::500::default::exdqlm::mcmc",2,202604161,"full_dynamic_mcmc"
51,"dynamic::normal::0p05::500::default::exdqlm::mcmc",3,202605069,"full_dynamic_mcmc"
51,"dynamic::normal::0p05::500::default::exdqlm::mcmc",4,202614067,"full_dynamic_mcmc"
52,"dynamic::normal::0p05::500::default::exdqlm::vb",1,198090,"full_dynamic_vb"
52,"dynamic::normal::0p05::500::default::exdqlm::vb",2,198191,"full_dynamic_vb"
52,"dynamic::normal::0p05::500::default::exdqlm::vb",3,199099,"full_dynamic_vb"
52,"dynamic::normal::0p05::500::default::exdqlm::vb",4,208097,"full_dynamic_vb"
53,"dynamic::normal::0p05::5000::default::dqlm::mcmc",1,200595,"full_dynamic_mcmc"
53,"dynamic::normal::0p05::5000::default::dqlm::mcmc",2,200696,"full_dynamic_mcmc"
53,"dynamic::normal::0p05::5000::default::dqlm::mcmc",3,201604,"full_dynamic_mcmc"
53,"dynamic::normal::0p05::5000::default::dqlm::mcmc",4,210602,"full_dynamic_mcmc"
54,"dynamic::normal::0p05::5000::default::dqlm::vb",1,191079,"full_dynamic_vb"
54,"dynamic::normal::0p05::5000::default::dqlm::vb",2,191180,"full_dynamic_vb"
54,"dynamic::normal::0p05::5000::default::dqlm::vb",3,192088,"full_dynamic_vb"
54,"dynamic::normal::0p05::5000::default::dqlm::vb",4,201086,"full_dynamic_vb"
55,"dynamic::normal::0p05::5000::default::exdqlm::mcmc",1,211258,"full_dynamic_mcmc"
55,"dynamic::normal::0p05::5000::default::exdqlm::mcmc",2,211359,"full_dynamic_mcmc"
55,"dynamic::normal::0p05::5000::default::exdqlm::mcmc",3,212267,"full_dynamic_mcmc"
55,"dynamic::normal::0p05::5000::default::exdqlm::mcmc",4,221265,"full_dynamic_mcmc"
56,"dynamic::normal::0p05::5000::default::exdqlm::vb",1,201342,"full_dynamic_vb"
56,"dynamic::normal::0p05::5000::default::exdqlm::vb",2,201443,"full_dynamic_vb"
56,"dynamic::normal::0p05::5000::default::exdqlm::vb",3,202351,"full_dynamic_vb"
56,"dynamic::normal::0p05::5000::default::exdqlm::vb",4,211349,"full_dynamic_vb"
57,"dynamic::normal::0p25::500::default::dqlm::mcmc",1,197404,"full_dynamic_mcmc"
57,"dynamic::normal::0p25::500::default::dqlm::mcmc",2,197505,"full_dynamic_mcmc"
57,"dynamic::normal::0p25::500::default::dqlm::mcmc",3,198413,"full_dynamic_mcmc"
57,"dynamic::normal::0p25::500::default::dqlm::mcmc",4,207411,"full_dynamic_mcmc"
58,"dynamic::normal::0p25::500::default::dqlm::vb",1,188088,"full_dynamic_vb"
58,"dynamic::normal::0p25::500::default::dqlm::vb",2,188189,"full_dynamic_vb"
58,"dynamic::normal::0p25::500::default::dqlm::vb",3,189097,"full_dynamic_vb"
58,"dynamic::normal::0p25::500::default::dqlm::vb",4,198095,"full_dynamic_vb"
59,"dynamic::normal::0p25::500::default::exdqlm::mcmc",1,207846,"full_dynamic_mcmc"
59,"dynamic::normal::0p25::500::default::exdqlm::mcmc",2,207947,"full_dynamic_mcmc"
59,"dynamic::normal::0p25::500::default::exdqlm::mcmc",3,208855,"full_dynamic_mcmc"
59,"dynamic::normal::0p25::500::default::exdqlm::mcmc",4,217853,"full_dynamic_mcmc"
60,"dynamic::normal::0p25::500::default::exdqlm::vb",1,198130,"full_dynamic_vb"
60,"dynamic::normal::0p25::500::default::exdqlm::vb",2,198231,"full_dynamic_vb"
60,"dynamic::normal::0p25::500::default::exdqlm::vb",3,199139,"full_dynamic_vb"
60,"dynamic::normal::0p25::500::default::exdqlm::vb",4,208137,"full_dynamic_vb"
61,"dynamic::normal::0p25::5000::default::dqlm::mcmc",1,200635,"full_dynamic_mcmc"
61,"dynamic::normal::0p25::5000::default::dqlm::mcmc",2,200736,"full_dynamic_mcmc"
61,"dynamic::normal::0p25::5000::default::dqlm::mcmc",3,201644,"full_dynamic_mcmc"
61,"dynamic::normal::0p25::5000::default::dqlm::mcmc",4,210642,"full_dynamic_mcmc"
62,"dynamic::normal::0p25::5000::default::dqlm::vb",1,191119,"full_dynamic_vb"
62,"dynamic::normal::0p25::5000::default::dqlm::vb",2,191220,"full_dynamic_vb"
62,"dynamic::normal::0p25::5000::default::dqlm::vb",3,192128,"full_dynamic_vb"
62,"dynamic::normal::0p25::5000::default::dqlm::vb",4,201126,"full_dynamic_vb"
63,"dynamic::normal::0p25::5000::default::exdqlm::mcmc",1,211298,"full_dynamic_mcmc"
63,"dynamic::normal::0p25::5000::default::exdqlm::mcmc",2,211399,"full_dynamic_mcmc"
63,"dynamic::normal::0p25::5000::default::exdqlm::mcmc",3,212307,"full_dynamic_mcmc"
63,"dynamic::normal::0p25::5000::default::exdqlm::mcmc",4,221305,"full_dynamic_mcmc"
64,"dynamic::normal::0p25::5000::default::exdqlm::vb",1,201382,"full_dynamic_vb"
64,"dynamic::normal::0p25::5000::default::exdqlm::vb",2,201483,"full_dynamic_vb"
64,"dynamic::normal::0p25::5000::default::exdqlm::vb",3,202391,"full_dynamic_vb"
64,"dynamic::normal::0p25::5000::default::exdqlm::vb",4,211389,"full_dynamic_vb"
65,"dynamic::normal::0p95::500::default::dqlm::mcmc",1,197544,"full_dynamic_mcmc"
65,"dynamic::normal::0p95::500::default::dqlm::mcmc",2,197645,"full_dynamic_mcmc"
65,"dynamic::normal::0p95::500::default::dqlm::mcmc",3,198553,"full_dynamic_mcmc"
65,"dynamic::normal::0p95::500::default::dqlm::mcmc",4,207551,"full_dynamic_mcmc"
66,"dynamic::normal::0p95::500::default::dqlm::vb",1,188228,"full_dynamic_vb"
66,"dynamic::normal::0p95::500::default::dqlm::vb",2,188329,"full_dynamic_vb"
66,"dynamic::normal::0p95::500::default::dqlm::vb",3,189237,"full_dynamic_vb"
66,"dynamic::normal::0p95::500::default::dqlm::vb",4,198235,"full_dynamic_vb"
67,"dynamic::normal::0p95::500::default::exdqlm::mcmc",1,207986,"full_dynamic_mcmc"
67,"dynamic::normal::0p95::500::default::exdqlm::mcmc",2,208087,"full_dynamic_mcmc"
67,"dynamic::normal::0p95::500::default::exdqlm::mcmc",3,208995,"full_dynamic_mcmc"
67,"dynamic::normal::0p95::500::default::exdqlm::mcmc",4,217993,"full_dynamic_mcmc"
68,"dynamic::normal::0p95::500::default::exdqlm::vb",1,198270,"full_dynamic_vb"
68,"dynamic::normal::0p95::500::default::exdqlm::vb",2,198371,"full_dynamic_vb"
68,"dynamic::normal::0p95::500::default::exdqlm::vb",3,199279,"full_dynamic_vb"
68,"dynamic::normal::0p95::500::default::exdqlm::vb",4,208277,"full_dynamic_vb"
69,"dynamic::normal::0p95::5000::default::dqlm::mcmc",1,200775,"full_dynamic_mcmc"
69,"dynamic::normal::0p95::5000::default::dqlm::mcmc",2,200876,"full_dynamic_mcmc"
69,"dynamic::normal::0p95::5000::default::dqlm::mcmc",3,201784,"full_dynamic_mcmc"
69,"dynamic::normal::0p95::5000::default::dqlm::mcmc",4,210782,"full_dynamic_mcmc"
70,"dynamic::normal::0p95::5000::default::dqlm::vb",1,191259,"full_dynamic_vb"
70,"dynamic::normal::0p95::5000::default::dqlm::vb",2,191360,"full_dynamic_vb"
70,"dynamic::normal::0p95::5000::default::dqlm::vb",3,192268,"full_dynamic_vb"
70,"dynamic::normal::0p95::5000::default::dqlm::vb",4,201266,"full_dynamic_vb"
71,"dynamic::normal::0p95::5000::default::exdqlm::mcmc",1,211438,"full_dynamic_mcmc"
71,"dynamic::normal::0p95::5000::default::exdqlm::mcmc",2,211539,"full_dynamic_mcmc"
71,"dynamic::normal::0p95::5000::default::exdqlm::mcmc",3,212447,"full_dynamic_mcmc"
71,"dynamic::normal::0p95::5000::default::exdqlm::mcmc",4,221445,"full_dynamic_mcmc"
72,"dynamic::normal::0p95::5000::default::exdqlm::vb",1,201522,"full_dynamic_vb"
72,"dynamic::normal::0p95::5000::default::exdqlm::vb",2,201623,"full_dynamic_vb"
72,"dynamic::normal::0p95::5000::default::exdqlm::vb",3,202531,"full_dynamic_vb"
72,"dynamic::normal::0p95::5000::default::exdqlm::vb",4,211529,"full_dynamic_vb"
73,"static_paper::gausmix::0p05::100::paper::al::mcmc",1,202762,"full_static_mcmc"
73,"static_paper::gausmix::0p05::100::paper::al::mcmc",2,202863,"full_static_mcmc"
