key	kind	family	tau	tt	prior	prepared_root	run_root	batch_label	legacy_jerez_state	legacy_jerez_session	rehomed_from_jerez	rehomed_from_jerez_session	prepared_exists	run_root_exists	run_config_exists	muscat_complete	wave_assigned	wave_batch_done	wave_batch_current	wave_batch_session	rehomed_muscat_session	current_session	current_stage	current_unified_state	sync_pending_from_jerez
static_paper|laplace|0.05|1000|	static_paper	laplace	0.05	1000	none	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	static_paper_tt1000	not_launched_on_jerez		FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE				complete_on_muscat	complete_on_muscat	FALSE
static_paper|laplace|0.25|100|	static_paper	laplace	0.25	100	none	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	static_paper_tt100	not_launched_on_jerez		FALSE		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	mqsp_static_paper_tt100_20260312_024859		mqsp_static_paper_tt100_20260312_024859	active_on_muscat_backlog_wave	active_on_muscat_backlog_wave	FALSE
static_paper|laplace|0.25|1000|	static_paper	laplace	0.25	1000	none	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	static_paper_tt1000	not_launched_on_jerez		FALSE		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	mqsp_static_paper_tt1000_20260312_024859		mqsp_static_paper_tt1000_20260312_024859	active_on_muscat_backlog_wave	active_on_muscat_backlog_wave	FALSE
static_paper|laplace|0.50|100|	static_paper	laplace	0.50	100	none	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p50/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p50/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	static_paper_tt100	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
static_paper|laplace|0.50|1000|	static_paper	laplace	0.50	1000	none	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p50/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p50/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	static_paper_tt1000	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
static_paper|normal|0.05|100|	static_paper	normal	0.05	100	none	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	static_paper_tt100	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
static_paper|normal|0.05|1000|	static_paper	normal	0.05	1000	none	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	static_paper_tt1000	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
static_paper|normal|0.25|100|	static_paper	normal	0.25	100	none	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	static_paper_tt100	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
static_paper|normal|0.25|1000|	static_paper	normal	0.25	1000	none	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	static_paper_tt1000	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
static_paper|normal|0.50|100|	static_paper	normal	0.50	100	none	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p50/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p50/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	static_paper_tt100	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
