"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","model","gate_overall.mcmc","healthy.mcmc","gate_rank_num.mcmc","runtime_sec.mcmc","selected_pool.mcmc","selected_candidate.mcmc","gate_overall.vb","healthy.vb","gate_rank_num.vb","runtime_sec.vb","selected_pool.vb","selected_candidate.vb","gate_delta_mcmc_minus_vb","gate_comparison","runtime_ratio_mcmc_over_vb","faster_method"
"static_shrink::gausmix::0p25::100::ridge","root__static_shrink__gausmix__tau_0p25__tt_100__ridge","static_shrink","static_shrink","gausmix","0p25",100,"ridge","al","PASS",TRUE,1,19.916,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p25::100::ridge","root__static_shrink__gausmix__tau_0p25__tt_100__ridge","static_shrink","static_shrink","gausmix","0p25",100,"ridge","exal","WARN",TRUE,2,,"baseline_original","baseline","WARN",TRUE,2,13.777,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::gausmix::0p25::1000::rhs","root__static_shrink__gausmix__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p25",1000,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p25::1000::rhs","root__static_shrink__gausmix__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p25",1000,"rhs","exal","WARN",TRUE,2,60.128,"hybrid_291_selection","F085_sub2_s100","WARN",TRUE,2,16.157,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",3.721483,"vb"
"static_shrink::gausmix::0p25::1000::ridge","root__static_shrink__gausmix__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p25",1000,"ridge","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p25::1000::ridge","root__static_shrink__gausmix__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p25",1000,"ridge","exal","WARN",TRUE,2,136.497,"hybrid_291_selection","F085_sub2_s105_histshort","WARN",TRUE,2,17.614,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",7.749347,"vb"
"static_shrink::gausmix::0p95::100::rhs","root__static_shrink__gausmix__tau_0p95__tt_100__rhs","static_shrink","static_shrink","gausmix","0p95",100,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p95::100::rhs","root__static_shrink__gausmix__tau_0p95__tt_100__rhs","static_shrink","static_shrink","gausmix","0p95",100,"rhs","exal","PASS",TRUE,1,306.468,"hybrid_291_selection","F0825_sub2_s100","PASS",TRUE,1,17.116,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",17.905352,"vb"
"static_shrink::gausmix::0p95::100::ridge","root__static_shrink__gausmix__tau_0p95__tt_100__ridge","static_shrink","static_shrink","gausmix","0p95",100,"ridge","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p95::100::ridge","root__static_shrink__gausmix__tau_0p95__tt_100__ridge","static_shrink","static_shrink","gausmix","0p95",100,"ridge","exal","PASS",TRUE,1,56.011,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,1,17.224,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",3.251916,"vb"
