"case_key","scenario_key","block","root_kind","family","tau_label","fit_size","prior_semantics","inference","model","method_id","selected_pool","selected_candidate","selected_variant_tag","gate_overall","healthy","runtime_sec","diagnostic_source_type","signoff_reason","selection_reason","selected_health_path_rel"
"static_shrink::gausmix::0p25::1000::rhs::exal::mcmc","static_shrink::gausmix::0p25::1000::rhs","static_shrink","static_shrink","gausmix","0p25",1000,"rhs","mcmc","exal","mcmc__exal","hybrid_291_selection","F085_sub2_s100","failband2_F085_sub2_s100","WARN",TRUE,60.128,"summary_row_csv","","Promoted `failband2_F085_sub2_s100` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_static_case_health_failband2_F085_sub2_s100_exal_gausmix_TT1000.csv"
"static_shrink::gausmix::0p25::1000::rhs::exal::vb","static_shrink::gausmix::0p25::1000::rhs","static_shrink","static_shrink","gausmix","0p25",1000,"rhs","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,16.157,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_shrink::gausmix::0p25::1000::ridge::exal::mcmc","static_shrink::gausmix::0p25::1000::ridge","static_shrink","static_shrink","gausmix","0p25",1000,"ridge","mcmc","exal","mcmc__exal","hybrid_291_selection","F085_sub2_s105_histshort","rowfix9_R174_F085_sub2_s105_histshort_seed2026040474","WARN",TRUE,136.497,"summary_row_csv","","Promoted `rowfix9_R174_F085_sub2_s105_histshort_seed2026040474` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_static_case_health_rowfix9_R174_F085_sub2_s105_histshort_seed2026040474_exal_gausmix_TT1000.csv"
"static_shrink::gausmix::0p25::1000::ridge::exal::vb","static_shrink::gausmix::0p25::1000::ridge","static_shrink","static_shrink","gausmix","0p25",1000,"ridge","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,17.614,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_shrink::gausmix::0p95::1000::ridge::exal::mcmc","static_shrink::gausmix::0p95::1000::ridge","static_shrink","static_shrink","gausmix","0p95",1000,"ridge","mcmc","exal","mcmc__exal","baseline_original","baseline","baseline","WARN",TRUE,,"method_signoff_long","chain_marginal_but_usable","Baseline original fit already healthy; repaired candidates did not strictly improve the gate.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/tables/method_signoff_long.csv"
"static_shrink::laplace::0p25::100::rhs::exal::vb","static_shrink::laplace::0p25::100::rhs","static_shrink","static_shrink","laplace","0p25",100,"rhs","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,13.768,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_shrink::laplace::0p25::100::ridge::exal::vb","static_shrink::laplace::0p25::100::ridge","static_shrink","static_shrink","laplace","0p25",100,"ridge","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,13.751,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_shrink::laplace::0p25::1000::rhs::exal::vb","static_shrink::laplace::0p25::1000::rhs","static_shrink","static_shrink","laplace","0p25",1000,"rhs","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,16.372,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_shrink::laplace::0p25::1000::ridge::exal::vb","static_shrink::laplace::0p25::1000::ridge","static_shrink","static_shrink","laplace","0p25",1000,"ridge","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,16.185,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_shrink::laplace::0p95::1000::rhs::exal::mcmc","static_shrink::laplace::0p95::1000::rhs","static_shrink","static_shrink","laplace","0p95",1000,"rhs","mcmc","exal","mcmc__exal","static_refresh_compact","rhs_legacy_refresh_20260329","rhs_legacy_refresh_20260329","WARN",TRUE,148.112,"candidate_health_csv","","Promoted `rhs_legacy_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhs_legacy_refresh_20260329/health_compact_20260329_123208.csv"
"static_shrink::normal::0p05::100::rhs::exal::mcmc","static_shrink::normal::0p05::100::rhs","static_shrink","static_shrink","normal","0p05",100,"rhs","mcmc","exal","mcmc__exal","baseline_original","baseline","baseline","WARN",TRUE,,"method_signoff_long","chain_marginal_but_usable","Baseline original fit already healthy; repaired candidates did not strictly improve the gate.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/tables/method_signoff_long.csv"
"static_shrink::normal::0p05::100::ridge::exal::mcmc","static_shrink::normal::0p05::100::ridge","static_shrink","static_shrink","normal","0p05",100,"ridge","mcmc","exal","mcmc__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,28.692,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_shrink::normal::0p05::1000::ridge::exal::mcmc","static_shrink::normal::0p05::1000::ridge","static_shrink","static_shrink","normal","0p05",1000,"ridge","mcmc","exal","mcmc__exal","hybrid_291_selection","F085_sub2_s100","failband2_F085_sub2_s100","WARN",TRUE,63.046,"summary_row_csv","","Promoted `failband2_F085_sub2_s100` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_static_case_health_failband2_F085_sub2_s100_exal_normal_TT1000.csv"
"static_shrink::normal::0p25::100::rhs::exal::vb","static_shrink::normal::0p25::100::rhs","static_shrink","static_shrink","normal","0p25",100,"rhs","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,13.367,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_shrink::normal::0p25::100::ridge::exal::mcmc","static_shrink::normal::0p25::100::ridge","static_shrink","static_shrink","normal","0p25",100,"ridge","mcmc","exal","mcmc__exal","baseline_original","baseline","baseline","WARN",TRUE,,"method_signoff_long","chain_marginal_but_usable","Baseline original fit already healthy; repaired candidates did not strictly improve the gate.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/tables/method_signoff_long.csv"
