root_id	root_kind	family	tau	fit_size	prior	prepared_present	run_root	model_a_complete	model_b_complete	root_postprocess_complete	root_review_complete	root_state
root__static_shrink__laplace__tau_0p25__tt_100__ridge	static_shrink	laplace	0.25	100	ridge	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__laplace__tau_0p25__tt_1000__rhs	static_shrink	laplace	0.25	1000	rhs	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__laplace__tau_0p25__tt_1000__ridge	static_shrink	laplace	0.25	1000	ridge	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__laplace__tau_0p95__tt_100__rhs	static_shrink	laplace	0.95	100	rhs	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__laplace__tau_0p95__tt_100__ridge	static_shrink	laplace	0.95	100	ridge	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__laplace__tau_0p95__tt_1000__rhs	static_shrink	laplace	0.95	1000	rhs	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__laplace__tau_0p95__tt_1000__ridge	static_shrink	laplace	0.95	1000	ridge	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p05__tt_100__rhs	static_shrink	normal	0.05	100	rhs	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p05__tt_100__ridge	static_shrink	normal	0.05	100	ridge	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p05__tt_1000__rhs	static_shrink	normal	0.05	1000	rhs	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p05__tt_1000__ridge	static_shrink	normal	0.05	1000	ridge	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p25__tt_100__rhs	static_shrink	normal	0.25	100	rhs	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p25__tt_100__ridge	static_shrink	normal	0.25	100	ridge	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p25__tt_1000__rhs	static_shrink	normal	0.25	1000	rhs	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p25__tt_1000__ridge	static_shrink	normal	0.25	1000	ridge	TRUE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p95__tt_100__rhs	static_shrink	normal	0.95	100	rhs	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p95__tt_100__ridge	static_shrink	normal	0.95	100	ridge	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p95__tt_1000__rhs	static_shrink	normal	0.95	1000	rhs	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_shrink__normal__tau_0p95__tt_1000__ridge	static_shrink	normal	0.95	1000	ridge	FALSE	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	FALSE	FALSE	FALSE	FALSE	missing
