root_id	root_kind	family	tau	fit_size	prior	inference	model	method	signoff_grade	comparison_eligible	convergence_certified	signoff_reason	status	finite_ok	domain_ok	execution_healthy	vb_converged	vb_stop_reason	vb_trace_length	vb_elbo_tail_rel_range	vb_elbo_tail_rel_drift	vb_sigma_tail_rel_range	vb_gamma_tail_rel_range	vb_s_tail_rel_range	vb_delta_state_last	vb_delta_sigma_last	vb_delta_gamma_last	vb_delta_s_last	vb_ld_trace_rows	vb_ld_local_mode_pass	vb_ld_committed_stable_tail	vb_ld_candidate_local_pass_rate_tail	vb_ld_committed_local_pass_rate_tail	vb_ld_mode_fallback_rate	vb_ld_stabilized_rate_tail	vb_rhs_collapse_flag	vb_rhs_tau_near_zero	vb_rhs_beta_collapse	vb_rhs_tau	vb_rhs_c2	vb_rhs_lambda_mean	mcmc_n_keep	mcmc_ess_sigma	mcmc_ess_gamma	mcmc_ess_state	mcmc_ess_tau	mcmc_ess_c2	mcmc_ess_lambda_mean	mcmc_acf1_sigma	mcmc_acf1_gamma	mcmc_acf1_state	mcmc_geweke_absz_sigma	mcmc_geweke_absz_gamma	mcmc_geweke_absz_state	mcmc_half_drift_sigma	mcmc_half_drift_gamma	mcmc_half_drift_state	mcmc_accept_rate	mcmc_accept_rate_burn	mcmc_accept_rate_keep	mcmc_kernel_exact	mcmc_signoff_ready	run_root
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	vb	exdqlm	vb::exdqlm	WARN	TRUE	FALSE	ld_unstable	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	186	3.72205650818458e-05	3.72205650818458e-05	6.85622504035697e-05	9.54276452052545e-05	NA	0.0256036411137757	0.000520235109064515	6.80865892657145e-05	5.86638596811184e-05	0	FALSE	FALSE	0	0	1	1	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	vb	dqlm	vb::dqlm	WARN	TRUE	FALSE	stable_tail_but_not_certified	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	159	2.92876219922269e-06	2.92876219922269e-06	4.54806046763981e-06	NA	NA	0.0244830189294589	3.59281014183921e-05	NA	NA	0	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	mcmc	exdqlm	mcmc::exdqlm	WARN	TRUE	FALSE	chain_marginal_but_usable	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000	17.8396855522206	12.7084607025886	611.649149778438	NA	NA	NA	0.963764288989826	0.973472754739117	-0.189747062634265	0.611431719239771	0.0839549199147749	6.77208254339774	0.215009716526437	0.668239146137052	0.162894069611945	0.400666666666667	0.428	0.346	TRUE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	mcmc	dqlm	mcmc::dqlm	WARN	TRUE	FALSE	chain_marginal_but_usable	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000	336.017685488122	NA	679.710139254973	NA	NA	NA	0.404221529200948	NA	-0.190128859908715	2.61143012080415	NA	5.80970214264369	0.0964182596211189	NA	0.159551859290502	NA	NA	NA	FALSE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	vb	exdqlm	vb::exdqlm	WARN	TRUE	FALSE	ld_unstable	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	1148	2.55196792115338e-06	2.55196792115338e-06	4.89675288073268e-05	0.000725338928819357	NA	0.0254467963304705	0.00207093135998093	8.87577801662182e-07	6.56892960249067e-06	0	FALSE	FALSE	0	0	1	0	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	vb	dqlm	vb::dqlm	PASS	TRUE	TRUE	vb_converged; stable_tail	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	72	1.16021560540537e-06	1.16021560540537e-06	1.39300647985985e-05	NA	NA	0.014104771124039	0.000491096857587081	NA	NA	0	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	mcmc	exdqlm	mcmc::exdqlm	FAIL	FALSE	FALSE	low_ess; geweke_drift; half_chain_drift	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000	8.55798627754218	1.40321417069121	59.6500119804002	NA	NA	NA	0.977083479498934	0.997194699987228	-0.165391929533224	1.75851412983084	1.52301141675801	15.1810128048579	1.43094817695787	1.51741577154626	0.29230217354816	0.387333333333333	0.436	0.363	TRUE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	mcmc	dqlm	mcmc::dqlm	FAIL	FALSE	FALSE	geweke_drift	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8000	1491.23203158041	NA	66.8405148894247	NA	NA	NA	0.481029318426943	NA	-0.167746914922622	0.821184100379757	NA	16.0750035117689	0.00463079796917003	NA	0.275602505135974	NA	NA	NA	FALSE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	vb	exdqlm	vb::exdqlm	FAIL	FALSE	FALSE	ld_unstable; vb_converged_false; core_parameter_tail_unstable	SUCCESS	TRUE	TRUE	TRUE	FALSE	max_iter	2400	0.0100336351840125	0.0100336351840125	0.00573062866729012	0.0785209105075481	NA	1.19588275638853	0.00757815155097052	0.002346261784109	0.000818025939882339	0	FALSE	FALSE	1	0	1	0	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	vb	dqlm	vb::dqlm	WARN	TRUE	FALSE	stable_tail_but_not_certified	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	119	8.73264861194577e-06	8.73264861194577e-06	4.06686813539332e-05	NA	NA	0.0221246011687981	4.61179038211412e-05	NA	NA	0	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
