"base_row_id","original_case_key","block","family","tau_label","fit_size","prior_semantics","model","inference","selected_fit_exists","source_run_root_exists","series_wide_exists","selection_indices_exists","true_quantile_grid_exists","coef_truth_exists","materialized_sim_exists","data_ready","baseline_seed"
46,"dynamic::laplace::0p95::5000::default::dqlm::vb","dynamic","laplace","0p95",5000,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,194963
47,"dynamic::laplace::0p95::5000::default::exdqlm::mcmc","dynamic","laplace","0p95",5000,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,215563
48,"dynamic::laplace::0p95::5000::default::exdqlm::vb","dynamic","laplace","0p95",5000,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,205447
49,"dynamic::normal::0p05::500::default::dqlm::mcmc","dynamic","normal","0p05",500,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,197364
50,"dynamic::normal::0p05::500::default::dqlm::vb","dynamic","normal","0p05",500,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,188048
51,"dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic","normal","0p05",500,"default","exdqlm","mcmc",TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,202604060
52,"dynamic::normal::0p05::500::default::exdqlm::vb","dynamic","normal","0p05",500,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,198090
53,"dynamic::normal::0p05::5000::default::dqlm::mcmc","dynamic","normal","0p05",5000,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,200595
54,"dynamic::normal::0p05::5000::default::dqlm::vb","dynamic","normal","0p05",5000,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,191079
55,"dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic","normal","0p05",5000,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,211258
56,"dynamic::normal::0p05::5000::default::exdqlm::vb","dynamic","normal","0p05",5000,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,201342
57,"dynamic::normal::0p25::500::default::dqlm::mcmc","dynamic","normal","0p25",500,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,197404
58,"dynamic::normal::0p25::500::default::dqlm::vb","dynamic","normal","0p25",500,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,188088
59,"dynamic::normal::0p25::500::default::exdqlm::mcmc","dynamic","normal","0p25",500,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,207846
60,"dynamic::normal::0p25::500::default::exdqlm::vb","dynamic","normal","0p25",500,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,198130
61,"dynamic::normal::0p25::5000::default::dqlm::mcmc","dynamic","normal","0p25",5000,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,200635
62,"dynamic::normal::0p25::5000::default::dqlm::vb","dynamic","normal","0p25",5000,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,191119
63,"dynamic::normal::0p25::5000::default::exdqlm::mcmc","dynamic","normal","0p25",5000,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,211298
64,"dynamic::normal::0p25::5000::default::exdqlm::vb","dynamic","normal","0p25",5000,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,201382
65,"dynamic::normal::0p95::500::default::dqlm::mcmc","dynamic","normal","0p95",500,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,197544
66,"dynamic::normal::0p95::500::default::dqlm::vb","dynamic","normal","0p95",500,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,188228
67,"dynamic::normal::0p95::500::default::exdqlm::mcmc","dynamic","normal","0p95",500,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,207986
68,"dynamic::normal::0p95::500::default::exdqlm::vb","dynamic","normal","0p95",500,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,198270
69,"dynamic::normal::0p95::5000::default::dqlm::mcmc","dynamic","normal","0p95",5000,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,200775
70,"dynamic::normal::0p95::5000::default::dqlm::vb","dynamic","normal","0p95",5000,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,191259
71,"dynamic::normal::0p95::5000::default::exdqlm::mcmc","dynamic","normal","0p95",5000,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,211438
72,"dynamic::normal::0p95::5000::default::exdqlm::vb","dynamic","normal","0p95",5000,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,201522
73,"static_paper::gausmix::0p05::100::paper::al::mcmc","static_paper","gausmix","0p05",100,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,202762
74,"static_paper::gausmix::0p05::100::paper::al::vb","static_paper","gausmix","0p05",100,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,193046
75,"static_paper::gausmix::0p05::100::paper::exal::mcmc","static_paper","gausmix","0p05",100,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,213638
76,"static_paper::gausmix::0p05::100::paper::exal::vb","static_paper","gausmix","0p05",100,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,203522
