path,status,esn_sha,esn_bytes,esn_last_commit,esn_author,esn_date,esnserver_sha,esnserver_bytes,esnserver_last_commit,esnserver_author,esnserver_date
"README.md","SAME","51d5409ddcd785a5ea6604437e9d3b77432faad8","9686","296a581","Antonio","2025-10-02","51d5409ddcd785a5ea6604437e9d3b77432faad8","9686","296a581","Antonio","2025-10-02"
"R/exdqlmLDVB.R","SAME","1e2e7714aeeec4d56aee5c7781028c5bfe9ec281","37111","87eabd2","Antonio","2025-10-02","1e2e7714aeeec4d56aee5c7781028c5bfe9ec281","37111","87eabd2","Antonio","2025-10-02"
"man/exdqlmMCMC.Rd","SAME","f04354b8dca36500ae850f9ec713de5acc67f430","4596","0898f13","Antonio","2025-09-09","f04354b8dca36500ae850f9ec713de5acc67f430","4596","0898f13","Antonio","2025-09-09"
"R/exal_static_mcmc.R","SAME","43d2c91c1f8ba331bd0c2b1e5b7661fbb5e111ea","11214","4faa9ed","Antonio","2025-10-09","43d2c91c1f8ba331bd0c2b1e5b7661fbb5e111ea","11214","4faa9ed","Antonio","2025-10-09"
"tests/testthat/test-exal.R","SAME","4560d8f58389aa591c3a7b561b2bf3d1857a53b7","658","51fe794","Antonio","2025-09-09","4560d8f58389aa591c3a7b561b2bf3d1857a53b7","658","51fe794","Antonio","2025-09-09"
"R/transfn_exdqlmLDVB.R","SAME","09d65c6be2eb2b29e99b05ba7299cea3e453e5fb","6816","4faa9ed","Antonio","2025-10-09","09d65c6be2eb2b29e99b05ba7299cea3e453e5fb","6816","4faa9ed","Antonio","2025-10-09"
"man/tfRegMod.Rd","SAME","f403f74d7b0cee15e9b2156ddd3f7c4542a4e516","1878","4faa9ed","Antonio","2025-10-09","f403f74d7b0cee15e9b2156ddd3f7c4542a4e516","1878","4faa9ed","Antonio","2025-10-09"
"man/rexal.Rd","SAME","214626fe6370d53b84cb1ec94042f8695bedbd65","841","129e0ab","Antonio","2025-09-09","214626fe6370d53b84cb1ec94042f8695bedbd65","841","129e0ab","Antonio","2025-09-09"
"R/utils-debug.R","SAME","db096eb95005dbe18cf51197c024aec1972953fe","78","c66ff36","Antonio","2025-09-17","db096eb95005dbe18cf51197c024aec1972953fe","78","c66ff36","Antonio","2025-09-17"
".github/.gitignore","SAME","2d19fc766d98a08d9d1437896bfb008a7b15f340","7","31f9aa5","Antonio","2025-09-08","2d19fc766d98a08d9d1437896bfb008a7b15f340","7","31f9aa5","Antonio","2025-09-08"
"R/exdqlm-package.R","SAME","2254761170e3d8a3be4c5e4da80b9790d420877a","599","40f538b","Antonio","2025-09-25","2254761170e3d8a3be4c5e4da80b9790d420877a","599","40f538b","Antonio","2025-09-25"
"man/exal_static_LDVB.Rd","SAME","0b91545fe0541db77a880009f9795b7b0b71028f","2937","9db7830","Antonio","2025-10-09","0b91545fe0541db77a880009f9795b7b0b71028f","2937","9db7830","Antonio","2025-10-09"
"R/exdqlm_synthesize_from_draws.R","SAME","494d6ece8b78fbc2b814d81fe1816e101669c3c0","7876","87eabd2","Antonio","2025-10-02","494d6ece8b78fbc2b814d81fe1816e101669c3c0","7876","87eabd2","Antonio","2025-10-02"
"R/transfn_exdqlmISVB.R","SAME","58e4292ea626329d3ced6c00aaeec0a7c993407e","6435","9f38fb4","Raquel Barata","2023-02-16","58e4292ea626329d3ced6c00aaeec0a7c993407e","6435","9f38fb4","Raquel Barata","2023-02-16"
"man/nino34.Rd","SAME","162556c9ea21c258f3d3a517936653e01b684fe5","713","9f38fb4","Raquel Barata","2023-02-16","162556c9ea21c258f3d3a517936653e01b684fe5","713","9f38fb4","Raquel Barata","2023-02-16"
"data/scIVTmag.rda","SAME","21ffd3a448b16026c55831514839cb0dcb4aa363","113910","9f38fb4","Raquel Barata","2023-02-16","21ffd3a448b16026c55831514839cb0dcb4aa363","113910","9f38fb4","Raquel Barata","2023-02-16"
"man/BTflow.Rd","SAME","13c97b166afe6ee73893ef398625d2f344c6632e","686","9f38fb4","Raquel Barata","2023-02-16","13c97b166afe6ee73893ef398625d2f344c6632e","686","9f38fb4","Raquel Barata","2023-02-16"
"src/kalman.cpp","SAME","676253316b8a206b5cdf194fb961a65f76518938","14052","b719c93","Antonio","2025-09-15","676253316b8a206b5cdf194fb961a65f76518938","14052","b719c93","Antonio","2025-09-15"
"R/regMod.R","SAME","066e42ad96921589f52c953b449f730f40e3edd2","2345","4faa9ed","Antonio","2025-10-09","066e42ad96921589f52c953b449f730f40e3edd2","2345","4faa9ed","Antonio","2025-10-09"
"src/Makevars.win","SAME","fcc2c7080cc6d1dec93cea76604b387e48ddcfdd","213","4f4aad1","Antonio","2025-09-24","fcc2c7080cc6d1dec93cea76604b387e48ddcfdd","213","4f4aad1","Antonio","2025-09-24"
"R/compPlot.R","SAME","b30c11e9aa0bb499ab5a8b64016628cbdb7175af","3118","9f38fb4","Raquel Barata","2023-02-16","b30c11e9aa0bb499ab5a8b64016628cbdb7175af","3118","9f38fb4","Raquel Barata","2023-02-16"
"R/qdesn_vb.R","SAME","1bb65fc9a5e2ffc35ce5442d26014b4c687c55f4","35130","1d81173","Antonio","2025-10-21","1bb65fc9a5e2ffc35ce5442d26014b4c687c55f4","35130","c9347bb","Antonio","2025-10-21"
"R/ELIanoms.R","SAME","ddab0bc0b4989ad100a8adedd8a9cfb68485e9a8","506","9f38fb4","Raquel Barata","2023-02-16","ddab0bc0b4989ad100a8adedd8a9cfb68485e9a8","506","9f38fb4","Raquel Barata","2023-02-16"
"man/transfn_exdqlmLDVB.Rd","SAME","4767aa408f28075960a183722f9db8e958cc6689","4898","4faa9ed","Antonio","2025-10-09","4767aa408f28075960a183722f9db8e958cc6689","4898","4faa9ed","Antonio","2025-10-09"
"man/forecast_paths.qdesn_fit.Rd","MODIFIED","b377b58056855a6e8137f2df1449a14995b0849a","2031","1e2fa90","Antonio","2025-10-20","006e9dc392c892ccd41b480ec5c11b0e8c3e8b5c","1950","2705a21","Antonio","2025-10-20"
"man/pexal.Rd","SAME","f3c33ef8e91f29c5dd4114962b1dcdf590a70484","1101","129e0ab","Antonio","2025-09-09","f3c33ef8e91f29c5dd4114962b1dcdf590a70484","1101","129e0ab","Antonio","2025-09-09"
".github/workflows/R-CMD-check.yaml","SAME","562fe0ff6765cb675eca5598f66298d2b0a6ee10","1396","31f9aa5","Antonio","2025-09-08","562fe0ff6765cb675eca5598f66298d2b0a6ee10","1396","31f9aa5","Antonio","2025-09-08"
"tests/testthat.R","SAME","39f88cd967b3021d2d1a6f9233b7fdc3f95142d6","392","5373e2f","Antonio","2025-09-08","39f88cd967b3021d2d1a6f9233b7fdc3f95142d6","392","5373e2f","Antonio","2025-09-08"
"man/predict_mu.qdesn_fit.Rd","SAME","353d53d6f760894192440b68e7c2163baf58e3e9","458","7f17ead","Antonio","2025-10-15","353d53d6f760894192440b68e7c2163baf58e3e9","458","fef76bf","Antonio","2025-10-18"
"LICENSE","SAME","da886f4d23c3ac5f6cfe93e4491c7e86dd713978","43","9f38fb4","Raquel Barata","2023-02-16","da886f4d23c3ac5f6cfe93e4491c7e86dd713978","43","9f38fb4","Raquel Barata","2023-02-16"
".gitignore","MODIFIED","b92769d1e1517613daa17a6248a7338ff247396f","305","87495b9","Antonio","2025-10-11","0f1b5fa3186e2634bfbadf82f26094ccbbf34c82","356","9ce2ea2","Antonio","2025-10-20"
"man/transfn_exdqlmISVB.Rd","SAME","459ddc6f5b19aaeddc09a1fde0a55936db69962e","6192","0898f13","Antonio","2025-09-09","459ddc6f5b19aaeddc09a1fde0a55936db69962e","6192","0898f13","Antonio","2025-09-09"
"src/exdqlm.cpp","SAME","540847e46c45b592d96ee9ecbe3c192edb7b2572","40","0898f13","Antonio","2025-09-09","540847e46c45b592d96ee9ecbe3c192edb7b2572","40","0898f13","Antonio","2025-09-09"
"R/run_sim_suite.ipynb","ONLY_IN_esn-server","","","","","","bbc5bad303b48ed09c9e765543389db1c467a030","1429220","87495b9","Antonio","2025-10-11"
"man/exal_vb_posterior_predict.Rd","SAME","35eb0b0ba5ea86a4f5665a6e4a993345b307045e","637","7f17ead","Antonio","2025-10-15","35eb0b0ba5ea86a4f5665a6e4a993345b307045e","637","fef76bf","Antonio","2025-10-18"
"src/omp_compat.h","SAME","43925334a3dd0949b50da57291f3fc7a6d54a8c9","676","25c4cd2","Antonio","2025-09-24","43925334a3dd0949b50da57291f3fc7a6d54a8c9","676","25c4cd2","Antonio","2025-09-24"
"man/exdqlmChecks.Rd","SAME","3d13587fe159c50fb283ddd9bc76e7e5dcfc07d2","2138","0898f13","Antonio","2025-09-09","3d13587fe159c50fb283ddd9bc76e7e5dcfc07d2","2138","0898f13","Antonio","2025-09-09"
"scripts/precran_all.R","SAME","1fce4afacd2c2fba81f26b99f30723683c08f3a9","9410","f9a1c36","Antonio","2025-09-25","1fce4afacd2c2fba81f26b99f30723683c08f3a9","9410","f9a1c36","Antonio","2025-09-25"
"man/exdqlmLDVB.Rd","SAME","344d6aebbe29ce05279293f6f5fee0ea0e365e22","6124","87eabd2","Antonio","2025-10-02","344d6aebbe29ce05279293f6f5fee0ea0e365e22","6124","87eabd2","Antonio","2025-10-02"
"R/exdqlmForecast.R","SAME","41d00719686726e11f40401e0f6556eb3e9b5564","5776","4636ac8","Antonio","2025-09-08","41d00719686726e11f40401e0f6556eb3e9b5564","5776","4636ac8","Antonio","2025-09-08"
"R/model_selection_distribution_first.R","MODIFIED","9184d637249b92f4ac5d6af7788bd4209477ba0d","18654","dcdeadf","Antonio","2025-10-12","ebf2725bf3ef18c51cfc8931ef8ba66c23730c59","50562","9ce2ea2","Antonio","2025-10-20"
"R/exal.r","SAME","3c4544d2d5e06dc9ed9652fb1bbd7a231dd758a4","2887","129e0ab","Antonio","2025-09-09","3c4544d2d5e06dc9ed9652fb1bbd7a231dd758a4","2887","129e0ab","Antonio","2025-09-09"
"R/seasMod.R","SAME","ace7f40ddc965e7137110fa4319122b87e86426f","2044","091d0e8","Raquel Barata","2025-09-24","ace7f40ddc965e7137110fa4319122b87e86426f","2044","091d0e8","Raquel Barata","2025-09-24"
"man/figures/README-synthesis-1.png","SAME","0a73e311d62983fd27a50db3fa968494ba2e6ce9","32077","296a581","Antonio","2025-10-02","0a73e311d62983fd27a50db3fa968494ba2e6ce9","32077","296a581","Antonio","2025-10-02"
"R/BTflow.R","SAME","95d744f4131ca86ad96e86edcc0c2ab57b993be7","517","9f38fb4","Raquel Barata","2023-02-16","95d744f4131ca86ad96e86edcc0c2ab57b993be7","517","9f38fb4","Raquel Barata","2023-02-16"
"R/zzz.R","SAME","6deda5b7dfb46bef59ef1e1084cf86d78f3bcc17","635","87eabd2","Antonio","2025-10-02","6deda5b7dfb46bef59ef1e1084cf86d78f3bcc17","635","87eabd2","Antonio","2025-10-02"
"man/seasMod.Rd","SAME","8a0abf4a41cbffd9996c79e6fa4e329143f61038","887","3cd366e","Antonio","2025-09-26","8a0abf4a41cbffd9996c79e6fa4e329143f61038","887","3cd366e","Antonio","2025-09-26"
"man/simulate_ts_mc_quantiles.Rd","MODIFIED","92cb5ee3b78a84fe814804e8ec5d78906fbd641c","5510","c2cde52","Antonio","2025-10-15","afa7e1ecb4d046765fc3251250dbf5818ad173f8","3874","fef76bf","Antonio","2025-10-18"
"man/model_selection_optionA.Rd","ONLY_IN_esn-server","","","","","","af9d4385883292148a7236d5c25881c351e396b7","1756","2705a21","Antonio","2025-10-20"
"R/utils.R","SAME","5d6fc43bc0e5993d07e94af9dfc466185f5edef7","7922","4faa9ed","Antonio","2025-10-09","5d6fc43bc0e5993d07e94af9dfc466185f5edef7","7922","4faa9ed","Antonio","2025-10-09"
"DESCRIPTION","SAME","3365f0dfaff4ff7d9ba36c93430a3f7c478f792c","1915","fc87073","Antonio","2025-10-07","3365f0dfaff4ff7d9ba36c93430a3f7c478f792c","1915","fc87073","Antonio","2025-10-07"
"R/combineMods.R","SAME","a0a06010594956c7e87f83f1501adc48de7832d2","1943","091d0e8","Raquel Barata","2025-09-24","a0a06010594956c7e87f83f1501adc48de7832d2","1943","091d0e8","Raquel Barata","2025-09-24"
"man/polytrendMod.Rd","SAME","092a4217e43c5810152ecf61298daecd399ea711","886","3cd366e","Antonio","2025-09-26","092a4217e43c5810152ecf61298daecd399ea711","886","3cd366e","Antonio","2025-09-26"
"R/polytrendMod.R","SAME","23efff501b6811258c0ca08c9f348efb6c0277d0","1368","091d0e8","Raquel Barata","2025-09-24","23efff501b6811258c0ca08c9f348efb6c0277d0","1368","091d0e8","Raquel Barata","2025-09-24"
"src/sampling_truncnorm.cpp","SAME","8626280ded678fd5705de17fc77e38085a8df6e8","2436","7e6d4ea","Antonio","2025-09-25","8626280ded678fd5705de17fc77e38085a8df6e8","2436","7e6d4ea","Antonio","2025-09-25"
"man/posterior_predict.qdesn_fit.Rd","SAME","9cb13c70cf09f9a21b5461c6b0e1eaa05e5583e9","627","7f17ead","Antonio","2025-10-15","9cb13c70cf09f9a21b5461c6b0e1eaa05e5583e9","627","fef76bf","Antonio","2025-10-18"
"man/scIVTmag.Rd","SAME","91e4696965174cf0f4c6e8b47cc3982d2f0df15c","691","9f38fb4","Raquel Barata","2023-02-16","91e4696965174cf0f4c6e8b47cc3982d2f0df15c","691","9f38fb4","Raquel Barata","2023-02-16"
"R/dlmMod.R","SAME","b55be87c6206384c8b7149c3edd3a3cb1a9a2674","890","091d0e8","Raquel Barata","2025-09-24","b55be87c6206384c8b7149c3edd3a3cb1a9a2674","890","091d0e8","Raquel Barata","2025-09-24"
"man/ELIanoms.Rd","SAME","b761369ed04a34c2876f5a2ea891bc67282bbce3","681","9f38fb4","Raquel Barata","2023-02-16","b761369ed04a34c2876f5a2ea891bc67282bbce3","681","9f38fb4","Raquel Barata","2023-02-16"
"R/gamma_bounds.R","SAME","3e467e09bc129db0f65ed3341e5481068608a47d","838","3cd366e","Antonio","2025-09-26","3e467e09bc129db0f65ed3341e5481068608a47d","838","3cd366e","Antonio","2025-09-26"
"man/exdqlm-package.Rd","SAME","a772b8a3ef6088830dcb5404b629a1153ff082e0","1057","40f538b","Antonio","2025-09-25","a772b8a3ef6088830dcb5404b629a1153ff082e0","1057","40f538b","Antonio","2025-09-25"
