"root_path","root_name","class","default_scope","default_action","cleanup_candidate","total_file_count","total_size_bytes","rds_count","rds_size_bytes","rda_count","rda_size_bytes","rdata_count","rdata_size_bytes","binary_count","binary_size_bytes","config_rds_count","fit_rds_count","vb_init_rds_count","draws_rds_count","other_rds_count","csv_count","log_count","txt_count","notes"
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_final_closure_20260410","full288_original288_syncedbase_dynamic_final_closure_20260410","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410","full288_original288_syncedbase_dynamic_restored_closure_20260410","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,98,342978,36,294036,0,0,0,0,36,294036,24,0,0,0,12,36,24,2,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_tail6_localmix_20260408","full288_original288_syncedbase_dynamic_tail6_localmix_20260408","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,25,23193,6,5897,0,0,0,0,6,5897,6,0,0,0,0,12,6,1,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_tail6_refine_20260407","full288_original288_syncedbase_dynamic_tail6_refine_20260407","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,25,23474,6,5920,0,0,0,0,6,5920,6,0,0,0,0,12,6,1,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407","full288_original288_syncedbase_faithful_replay_20260407","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,1079,928580,282,326530,0,0,0,0,282,326530,282,0,0,0,0,510,282,5,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_rerun_20260406","full288_original288_syncedbase_rerun_20260406","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,1143,1034007,288,359908,0,0,0,0,288,359908,288,0,0,0,0,563,289,3,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_residual_repair_20260407","full288_original288_syncedbase_residual_repair_20260407","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,339,346962,84,121881,0,0,0,0,84,121881,84,0,0,0,0,168,84,3,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407","full288_original288_syncedbase_targeted_followup_20260407","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,120,128338,29,45470,0,0,0,0,29,45470,29,0,0,0,0,58,29,4,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1","full288_refreshed288_20260422_p90_full288_baseline_v1","protected_current_relaunch","protected","protect",FALSE,959,228115564344,554,228115240822,0,0,0,0,554,228115240822,288,133,0,133,0,405,0,0,"Current updated-0.4.0 p90 full relaunch root; never touch during cleanup."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_refreshed288_paperaligned_20260416","full288_refreshed288_paperaligned_20260416","legacy_refreshed288_launch","refreshed288","delete_binary_outputs",TRUE,236,176831,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,"Legacy refreshed288 validation-study launch root from before the current p90 relaunch."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_refreshed288_paperaligned_20260417_bridge_pilot_v1","full288_refreshed288_paperaligned_20260417_bridge_pilot_v1","legacy_refreshed288_launch","refreshed288","delete_binary_outputs",TRUE,30,23431,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,"Legacy refreshed288 validation-study launch root from before the current p90 relaunch."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1","full288_refreshed288_paperaligned_20260417_canonical_v1","legacy_refreshed288_launch","refreshed288","delete_binary_outputs",TRUE,864,756878,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,"Legacy refreshed288 validation-study launch root from before the current p90 relaunch."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_refreshed288_paperaligned_20260418_runtimefail_v1","full288_refreshed288_paperaligned_20260418_runtimefail_v1","legacy_refreshed288_launch","refreshed288","delete_binary_outputs",TRUE,38,24955,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,"Legacy refreshed288 validation-study launch root from before the current p90 relaunch."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_stsfreeze_v1","full288_refreshed288_paperaligned_20260419_numcrash_stsfreeze_v1","legacy_refreshed288_launch","refreshed288","delete_binary_outputs",TRUE,60,56821,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,"Legacy refreshed288 validation-study launch root from before the current p90 relaunch."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","full288_refreshed288_paperaligned_20260419_numcrash_thetafreeze_v1","legacy_refreshed288_launch","refreshed288","delete_binary_outputs",TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Legacy refreshed288 validation-study launch root from before the current p90 relaunch."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_refreshed288_paperaligned_20260419_row8_cppprobe_v1","full288_refreshed288_paperaligned_20260419_row8_cppprobe_v1","legacy_refreshed288_launch","refreshed288","delete_binary_outputs",TRUE,21,21514,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,"Legacy refreshed288 validation-study launch root from before the current p90 relaunch."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","legacy_refreshed288_launch","refreshed288","delete_binary_outputs",TRUE,1,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Legacy refreshed288 validation-study launch root from before the current p90 relaunch."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_refreshed288_preflight_20260422","full288_refreshed288_preflight_20260422","legacy_refreshed288_preflight","refreshed288","delete_binary_outputs",TRUE,12,13160,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,"Prelaunch preflight binaries for the current relaunch; safe candidate after readiness is established."
