"block","family","tau_label","fit_size","prior_semantics","inference","original_scenario_key","base_model","extended_model","primary_accuracy_base","primary_accuracy_extended","primary_accuracy_delta","coverage_base","coverage_extended","coverage_delta","mean_ci_width_base","mean_ci_width_extended","mean_ci_width_delta","runtime_sec_base","runtime_sec_extended","runtime_ratio_extended_over_base","gate_base","gate_extended","healthy_base","healthy_extended","exal_better_accuracy","exal_healthier","base_metric_source","extended_metric_source"
"static_paper","normal","0p05",1000,"paper","mcmc","static_paper::normal::0p05::1000::paper","al","exal",0.637997348463218,0.447530069422418,-0.1904672790408,0.549,0.683,0.134,1.02517913493971,0.95696686203584,-0.0682122729038699,3.427,59.387,17.3291508608112,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","normal","0p05",1000,"paper","vb","static_paper::normal::0p05::1000::paper","al","exal",0.652234882418315,0.651084866400061,-0.00115001601825393,0.252,0.279,0.027,0.444001467970722,0.588501406976623,0.144499939005901,0.245,13.084,53.4040816326531,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","normal","0p25",100,"paper","mcmc","static_paper::normal::0p25::100::paper","al","exal",0.837875335887177,0.982211115633573,0.144335779746396,0.9,0.89,-0.01,3.01951665651244,2.96134109989703,-0.0581755566154096,1.028,534.957,520.386186770428,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","normal","0p25",100,"paper","vb","static_paper::normal::0p25::100::paper","al","exal",0.97941341672965,NA,NA,0.7,NA,NA,2.01814769013093,NA,NA,0.0789999999999997,13.665,172.974683544304,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_paper","normal","0p25",1000,"paper","mcmc","static_paper::normal::0p25::1000::paper","al","exal",0.515303961636285,0.34469973734278,-0.170604224293505,0.625,0.827,0.202,0.929773807107063,0.953532581327569,0.023758774220506,4.125,138.084,33.4749090909091,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","normal","0p25",1000,"paper","vb","static_paper::normal::0p25::1000::paper","al","exal",0.540743114361164,NA,NA,0.368,NA,NA,0.547956798455637,NA,NA,0.131,15.414,117.664122137405,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_paper","normal","0p95",100,"paper","mcmc","static_paper::normal::0p95::100::paper","al","exal",1.69709367804667,1.19510655584118,-0.50198712220549,0.57,0.76,0.19,2.56316291984766,2.96752640330995,0.40436348346229,0.998,52.908,53.0140280561122,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","normal","0p95",100,"paper","vb","static_paper::normal::0p95::100::paper","al","exal",1.76435534399846,1.61433792047079,-0.15001742352767,0.35,0.44,0.09,1.16349090836343,1.60456675806412,0.44107584970069,0.107,13.317,124.457943925234,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","normal","0p95",1000,"paper","mcmc","static_paper::normal::0p95::1000::paper","al","exal",0.582358080646993,0.604983577443073,0.0226254967960799,0.591,0.425,-0.166,1.00999419316126,0.919892987614928,-0.0901012055463319,9.809,183.427,18.6998674686512,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","normal","0p95",1000,"paper","vb","static_paper::normal::0p95::1000::paper","al","exal",0.614891795745133,0.810491162636825,0.195599366891692,0.255,0.115,-0.14,0.441817786654883,0.577164770197573,0.13534698354269,0.229,12.269,53.5764192139738,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p05",100,"rhs_ns","mcmc","static_shrink::gausmix::0p05::100::rhs_ns","al","exal",0.878828587513323,0.979107579742542,0.100278992229219,NA,NA,NA,NA,NA,NA,16.554,80.296,4.85054971608071,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p05",100,"rhs_ns","vb","static_shrink::gausmix::0p05::100::rhs_ns","al","exal",1.01478052053253,1.01541602476308,0.000635504230549921,NA,NA,NA,NA,NA,NA,0.884,16.601,18.7794117647059,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p05",100,"ridge","mcmc","static_shrink::gausmix::0p05::100::ridge","al","exal",1.20565883110206,1.04800411395602,-0.15765471714604,0.68,0.81,0.13,2.66525340654939,2.73031618837247,0.0650627818230798,82.003,54.619,0.666060997768374,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p05",100,"ridge","vb","static_shrink::gausmix::0p05::100::ridge","al","exal",1.31770980782968,1.30940637954416,-0.00830342828552011,0.32,0.44,0.12,1.13119065936927,1.5395354109424,0.40834475157313,0.171,11.957,69.9239766081871,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p05",1000,"rhs_ns","mcmc","static_shrink::gausmix::0p05::1000::rhs_ns","al","exal",0.691062415945199,0.535561847016403,-0.155500568928796,NA,NA,NA,NA,NA,NA,9.471,112.909,11.9215499947207,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p05",1000,"rhs_ns","vb","static_shrink::gausmix::0p05::1000::rhs_ns","al","exal",0.711142692632194,0.672927875820735,-0.038214816811459,NA,NA,NA,NA,NA,NA,1.213,12.643,10.4229183841715,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p05",1000,"ridge","mcmc","static_shrink::gausmix::0p05::1000::ridge","al","exal",0.779243077469802,0.561679611385721,-0.217563466084081,0.388,0.474,0.086,0.788418918424843,0.860961216108413,0.07254229768357,9.258,790.54,85.3899330308922,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p05",1000,"ridge","vb","static_shrink::gausmix::0p05::1000::ridge","al","exal",0.756392050138816,0.692917119609715,-0.063474930529101,0.184,0.217,0.033,0.372855253631148,0.531933686197121,0.159078432565973,2.478,12.036,4.85714285714286,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p25",100,"rhs_ns","mcmc","static_shrink::gausmix::0p25::100::rhs_ns","al","exal",0.974073426028139,1.06962857518981,0.0955551491616711,NA,NA,NA,NA,NA,NA,6.365,80.371,12.6270227808327,"WARN","PASS",TRUE,TRUE,FALSE,TRUE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p25",100,"rhs_ns","vb","static_shrink::gausmix::0p25::100::rhs_ns","al","exal",0.851136273214928,NA,NA,NA,NA,NA,NA,NA,NA,0.624,30.093,48.2259615384615,"PASS","WARN",TRUE,TRUE,NA,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p25",100,"ridge","mcmc","static_shrink::gausmix::0p25::100::ridge","al","exal",0.931992892116399,0.93870322513157,0.00671033301517099,0.78,0.87,0.09,2.69882108106033,2.89415553611664,0.19533445505631,19.916,73.53,3.69200642699337,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p25",100,"ridge","vb","static_shrink::gausmix::0p25::100::ridge","al","exal",0.970356135408259,NA,NA,0.66,NA,NA,1.91726662015497,NA,NA,0.0529999999999999,13.777,259.943396226416,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p25",1000,"rhs_ns","mcmc","static_shrink::gausmix::0p25::1000::rhs_ns","al","exal",0.284377357275203,0.321082537722167,0.036705180446964,NA,NA,NA,NA,NA,NA,9.448,293.829,31.0995977984759,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p25",1000,"rhs_ns","vb","static_shrink::gausmix::0p25::1000::rhs_ns","al","exal",0.2951734454516,NA,NA,NA,NA,NA,NA,NA,NA,0.966,37.727,39.0548654244306,"PASS","WARN",TRUE,TRUE,NA,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p25",1000,"ridge","mcmc","static_shrink::gausmix::0p25::1000::ridge","al","exal",0.332826815849055,0.348711798855511,0.015884983006456,0.765,0.782,0.017,0.781633528446821,0.844586894641634,0.062953366194813,706.565,136.497,0.19318392504582,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p25",1000,"ridge","vb","static_shrink::gausmix::0p25::1000::ridge","al","exal",0.325973004208534,NA,NA,0.556,NA,NA,0.493698672721529,NA,NA,4.877,17.614,3.61164650399836,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p95",100,"rhs_ns","mcmc","static_shrink::gausmix::0p95::100::rhs_ns","al","exal",0.866373257534272,0.860263070949829,-0.00611018658444296,NA,NA,NA,NA,NA,NA,6.926,107.293,15.4913369910482,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p95",100,"rhs_ns","vb","static_shrink::gausmix::0p95::100::rhs_ns","al","exal",0.90923629761894,0.850179085198734,-0.059057212420206,NA,NA,NA,NA,NA,NA,0.973,23.925,24.5889003083248,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p95",100,"ridge","mcmc","static_shrink::gausmix::0p95::100::ridge","al","exal",0.912754779553419,0.946917512079535,0.034162732526116,0.81,0.81,0,2.54977912011169,2.67566187438574,0.12588275427405,1.106,56.011,50.6428571428571,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p95",100,"ridge","vb","static_shrink::gausmix::0p95::100::ridge","al","exal",0.983322528631245,0.986569801157206,0.00324727252596102,0.41,0.52,0.11,1.08278671126485,1.57158132334225,0.4887946120774,0.115,17.224,149.773913043478,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p95",1000,"rhs_ns","mcmc","static_shrink::gausmix::0p95::1000::rhs_ns","al","exal",0.490651726891751,0.690084879948714,0.199433153056963,NA,NA,NA,NA,NA,NA,9.821,102.111,10.3972100600754,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p95",1000,"rhs_ns","vb","static_shrink::gausmix::0p95::1000::rhs_ns","al","exal",0.503457111208223,0.827401054299986,0.323943943091763,NA,NA,NA,NA,NA,NA,1.206,15.237,12.634328358209,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","gausmix","0p95",1000,"ridge","mcmc","static_shrink::gausmix::0p95::1000::ridge","al","exal",0.515384661462663,0.689449665614564,0.174065004151901,0.585,0.272,-0.313,0.866935345438387,0.868187187649729,0.001251842211342,4.082,186.661,45.7278294953454,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","gausmix","0p95",1000,"ridge","vb","static_shrink::gausmix::0p95::1000::ridge","al","exal",0.538160810832257,0.836886271466028,0.298725460633771,0.266,0.072,-0.194,0.382913211300826,0.519845317211556,0.13693210591073,0.256,12.37,48.3203125,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p05",100,"rhs_ns","mcmc","static_shrink::laplace::0p05::100::rhs_ns","al","exal",0.826115287115283,0.582598566764588,-0.243516720350695,NA,NA,NA,NA,NA,NA,6.701,70.091,10.4597821220713,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","laplace","0p05",100,"rhs_ns","vb","static_shrink::laplace::0p05::100::rhs_ns","al","exal",0.933723700629096,0.71443281421508,-0.219290886414016,NA,NA,NA,NA,NA,NA,0.907,14.333,15.8026460859978,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","laplace","0p05",100,"ridge","mcmc","static_shrink::laplace::0p05::100::ridge","al","exal",0.991852862118018,0.551024710755273,-0.440828151362745,0.58,0.93,0.35,1.61451458069498,1.92734981583008,0.3128352351351,1.132,52.228,46.1378091872792,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p05",100,"ridge","vb","static_shrink::laplace::0p05::100::ridge","al","exal",0.977380353622489,0.896445164828423,-0.080935188794066,0.25,0.39,0.14,0.720297252984601,1.07275392793568,0.352456674951079,0.0449999999999999,11.397,253.266666666667,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p05",1000,"rhs_ns","mcmc","static_shrink::laplace::0p05::1000::rhs_ns","al","exal",0.347002167523964,0.471244920644153,0.124242753120189,NA,NA,NA,NA,NA,NA,9.202,101.801,11.0629211041078,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","laplace","0p05",1000,"rhs_ns","vb","static_shrink::laplace::0p05::1000::rhs_ns","al","exal",0.366935075765827,0.569000079267141,0.202065003501314,NA,NA,NA,NA,NA,NA,1.136,12.894,11.3503521126761,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","laplace","0p05",1000,"ridge","mcmc","static_shrink::laplace::0p05::1000::ridge","al","exal",0.38168581491391,0.430425108045642,0.048739293131732,0.625,0.26,-0.365,0.682022355310069,0.567377104277296,-0.114645251032773,9.275,140.797,15.180269541779,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p05",1000,"ridge","vb","static_shrink::laplace::0p05::1000::ridge","al","exal",0.395272549256489,0.562229391736632,0.166956842480143,0.289,0.046,-0.243,0.292872504929332,0.352016170866227,0.059143665936895,0.274,10.888,39.7372262773723,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p25",100,"rhs_ns","mcmc","static_shrink::laplace::0p25::100::rhs_ns","al","exal",0.581938642735781,0.330382957799441,-0.25155568493634,NA,NA,NA,NA,NA,NA,6.358,76.847,12.0866624724756,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","laplace","0p25",100,"rhs_ns","vb","static_shrink::laplace::0p25::100::rhs_ns","al","exal",0.593089983458767,NA,NA,NA,NA,NA,NA,NA,NA,0.617,28.711,46.5332252836305,"PASS","WARN",TRUE,TRUE,NA,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","laplace","0p25",100,"ridge","mcmc","static_shrink::laplace::0p25::100::ridge","al","exal",0.605365446230098,0.379210305706525,-0.226155140523573,0.85,0.99,0.14,1.84944560240464,1.76834470869212,-0.0811008937125199,1.155,52.19,45.1861471861472,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p25",100,"ridge","vb","static_shrink::laplace::0p25::100::ridge","al","exal",0.625471815120959,NA,NA,0.72,NA,NA,1.3198265385147,NA,NA,0.0169999999999999,13.751,808.882352941181,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p25",1000,"rhs_ns","mcmc","static_shrink::laplace::0p25::1000::rhs_ns","al","exal",0.145829457715202,0.0973254066282305,-0.0485040510869715,NA,NA,NA,NA,NA,NA,9.286,71.004,7.64634934309714,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","laplace","0p25",1000,"rhs_ns","vb","static_shrink::laplace::0p25::1000::rhs_ns","al","exal",0.145175179051323,NA,NA,NA,NA,NA,NA,NA,NA,1.028,35.742,34.7684824902724,"PASS","WARN",TRUE,TRUE,NA,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","laplace","0p25",1000,"ridge","mcmc","static_shrink::laplace::0p25::1000::ridge","al","exal",0.140423389212526,0.115551807500978,-0.024871581711548,0.943,0.968,0.025,0.527574999084591,0.472207665852409,-0.0553673332321821,3.688,55.318,14.9994577006508,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p25",1000,"ridge","vb","static_shrink::laplace::0p25::1000::ridge","al","exal",0.144729432227311,NA,NA,0.709,NA,NA,0.309006516746847,NA,NA,0.085,16.185,190.411764705882,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p95",100,"rhs_ns","mcmc","static_shrink::laplace::0p95::100::rhs_ns","al","exal",1.20137595773005,0.525160576064904,-0.676215381665146,NA,NA,NA,NA,NA,NA,6.647,73.02,10.985406950504,"WARN","WARN",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","laplace","0p95",100,"rhs_ns","vb","static_shrink::laplace::0p95::100::rhs_ns","al","exal",1.2870720208525,0.649195328142622,-0.637876692709878,NA,NA,NA,NA,NA,NA,0.864,13.951,16.1469907407407,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","laplace","0p95",100,"ridge","mcmc","static_shrink::laplace::0p95::100::ridge","al","exal",1.37739666429731,0.696661118154703,-0.680735546142607,0.53,0.88,0.35,1.76483794036251,2.13067345443706,0.36583551407455,6.638,53.852,8.11268454353721,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p95",100,"ridge","vb","static_shrink::laplace::0p95::100::ridge","al","exal",1.45456798231618,1.15771127434427,-0.29685670797191,0.27,0.38,0.11,0.837776942766505,1.15793603049488,0.320159087728375,0.117,6.343,54.2136752136752,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p95",1000,"rhs_ns","mcmc","static_shrink::laplace::0p95::1000::rhs_ns","al","exal",0.276605533691821,0.54031257363454,0.263707039942719,NA,NA,NA,NA,NA,NA,9.658,72.218,7.47753158003728,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
