"t","y","mu","q_true_05","q_true_50","q_true_95","q_syn_05","q_syn_50","q_syn_95","window","q_model_p005","q_model_p050","q_model_p095"
2515,-8.71181612453332,-8.31255159908986,-13.2709730933554,-8.31255159908986,-3.35413010482428,-13.0627667036083,-7.90659624897369,-2.35801364749804,"train",-13.0297990344109,-7.94157988697383,-2.66687409474312
2516,-12.8961514252861,-10.8947619880655,-15.8531833609592,-10.8947619880655,-5.93634061517181,-15.9474929178768,-10.4290662343355,-5.74895141254581,"train",-15.7726751944453,-10.4192710209192,-5.81963171095715
2517,-16.2108473097348,-13.0795534130205,-18.0379746645793,-13.0795534130205,-8.12113216146162,-18.1966747236167,-13.3473025372662,-7.99300421930609,"train",-17.8871317166005,-13.3354881469576,-8.12292398179592
2518,-18.1643485548578,-14.7623062310286,-19.7207273612789,-14.7623062310286,-9.80388510077827,-19.9792764261245,-14.4636909858422,-9.66400355508136,"train",-19.9621807372615,-14.476167368675,-9.9518076334187
2519,-16.7337520429638,-15.8644918408121,-20.8229128497726,-15.8644918408121,-10.9060708318517,-20.2387753389456,-15.7877966511838,-10.2513187844436,"train",-20.3792428306523,-15.9617129637331,-10.5668453607721
2520,-12.3184254436775,-16.3231841575967,-21.2816050452817,-16.3231841575967,-11.3647632699117,-20.498728044343,-16.4151836898992,-11.3929604734308,"train",-20.4704473991402,-16.3567464957369,-11.4056365644592
2521,-15.6188407136148,-16.1168799054052,-21.0753006718283,-16.1168799054052,-11.1584591389821,-21.237994573179,-15.9954639292998,-11.5202555294577,"train",-21.2123833578289,-15.9824142660005,-11.5577211417472
2522,-11.4155384654679,-15.3627466140836,-20.3211672592611,-15.3627466140836,-10.4043259689061,-20.9638348122938,-15.3599275156495,-9.48638583121215,"train",-20.5892723491332,-15.3278380006961,-10.3576225920268
2523,-15.2286291765527,-14.0629488338423,-19.0213693577962,-14.0629488338423,-9.10452830988831,-19.5084405822443,-14.1525925605875,-9.06239721668187,"train",-19.5619325957445,-14.3273031708916,-9.2835096057409
2524,-12.2373430099112,-12.3964598027599,-17.3548802055206,-12.3964598027599,-7.4380393999992,-18.4674912277803,-13.3858035876539,-7.97542478862517,"train",-18.3851886845705,-13.4057607233008,-7.94250779221577
2525,-8.0908212100333,-10.4188171856686,-15.3772374672765,-10.4188171856686,-5.46039690406062,-15.2267186554988,-10.884536990626,-5.90174528201347,"train",-15.0443452203914,-10.8777021273364,-5.9305291659585
2526,-13.985674227172,-8.25380397939883,-13.2122241399056,-8.25380397939883,-3.29538381889206,-13.7721282360814,-8.68989968572809,-3.88263923085457,"train",-13.5127309491476,-8.73907797685123,-4.02373832531789
2527,-1.08326445106173,-6.13630590263039,-11.0947259420989,-6.13630590263039,-1.17788586316192,-11.209197990154,-6.60078679884834,-1.56018771143897,"train",-11.1970421889303,-6.66847025278406,-1.91498362990992
2528,-4.14670544246541,-4.01883358124119,-8.97725349974476,-4.01883358124119,0.939586337262372,-9.74765925462637,-4.41383134877818,0.515559219283811,"train",-9.37057781687674,-4.31644954645287,0.489221944030653
2529,3.43035588612875,-2.17823661431499,-7.13665641193596,-2.17823661431499,2.78018318330598,-7.53614789584942,-2.03486843356337,2.53746681802547,"train",-7.53347734095974,-2.15619168666448,2.48396895689017
2530,0.535910590676743,-0.613912192442767,-5.57233186927006,-0.613912192442767,4.34450748438452,-5.74194543304436,-1.30686710987902,4.28280001327859,"train",-5.61786250973259,-1.35933659114378,4.2738491193179
2531,-0.619392141758946,0.496891922305004,-4.46152763382124,0.496891922305004,5.45531147843124,-4.79483308218674,0.59342662716896,5.38844018605615,"train",-4.71815979570886,0.314358167530508,5.38652393642609
2532,3.97757759070782,1.1273093041682,-3.83111013135008,1.1273093041682,6.08572873968648,-4.3888953221574,0.649067479294141,6.71447747173296,"train",-4.0769989735824,0.621868229394674,5.786161415281
2533,0.250549974940997,1.32197223656674,-3.63644707843373,1.32197223656674,6.2803915515672,-4.53147830309476,1.38461866155925,5.6080493284618,"train",-4.09977027954719,1.34907093336585,5.47950570067754
2534,4.57580295008197,1.02303267055689,-3.93538652400964,1.02303267055689,5.98145186512341,-3.66658645679331,0.68139319579179,6.23673501993536,"train",-3.61063834265754,0.675104749677026,6.10430514113141
2535,-1.08179391286845,0.362364431095175,-4.59605464311198,0.362364431095175,5.32078350530232,-5.06086140645627,0.00282109176551423,5.01549249270242,"train",-4.85316786872443,-0.0241689572267973,4.9094276546884
2536,-8.18218664298032,-0.674685765392931,-5.63310471930346,-0.674685765392931,4.2837331885176,-5.75603445949325,-0.568735642939002,3.98069466177256,"train",-5.92666845733449,-0.465380048090834,3.90324183277706
2537,-1.2732024574107,-1.99593041464296,-6.95434924830596,-1.99593041464296,2.96248841902005,-7.34296582707594,-1.68103404395973,3.23806842122279,"train",-7.3148709236418,-1.54723319541997,3.09766504567284
2538,-6.10051633937714,-3.34591762869861,-8.30433634214851,-3.34591762869861,1.61250108475128,-8.3435419203376,-3.24261775033379,1.7154791399662,"train",-8.2905761084539,-3.24332742338984,1.42468292728493
2539,-4.45204583153807,-4.71239619827517,-9.67081479153157,-4.71239619827517,0.246022394981229,-10.657324851468,-4.74734143652923,0.0715323457614465,"train",-10.6237230672286,-4.6672861653371,0.0545962789560812
2540,-4.76671375297385,-5.90883832728212,-10.8672568003506,-5.90883832728212,-0.950419854213619,-10.5933879673156,-6.13108614926918,-1.14137051227562,"train",-10.5093903534369,-6.13247058084053,-1.53239222707307
2541,-8.64879165928381,-6.84148678878523,-11.7999051416591,-6.84148678878523,-1.88306843591137,-11.8686035771704,-7.08887935123973,-2.13237456900789,"train",-11.7928264009341,-7.07686331802853,-2.08965290033343
2542,-8.7018359249227,-7.4496077295186,-12.4080259621812,-7.4496077295186,-2.49118949685597,-12.658801651387,-7.13516998038023,-2.41429645966477,"train",-12.6373965964486,-7.19211558223739,-2.64923640920143
2543,-6.08549184112311,-7.62518273028204,-12.5836008427101,-7.62518273028204,-2.66676461785395,-12.1713670319086,-7.5082007789542,-2.77961567612797,"train",-12.1186821407069,-7.34776472756057,-2.94644713158099
2544,-9.12922840304924,-7.30184895103195,-12.2602669431991,-7.30184895103195,-2.34343095886481,-12.6181035700122,-7.15589232847349,-2.15853293104884,"train",-12.4442321352799,-7.15090914224718,-2.04237446641773
2545,-5.37423760672242,-6.52626085024728,-11.4846787221279,-6.52626085024728,-1.56784297836668,-11.4420624659069,-6.64625158038559,-1.4930011181485,"train",-11.2073978453836,-6.54408683226231,-1.4754040323691
2546,-8.3752854048443,-5.25833183120129,-10.2167495827745,-5.25833183120129,-0.29991407962806,-10.2605456767499,-5.32128447937014,-0.592422601447772,"train",-10.1588145533717,-5.21618582702468,-0.606720782287413
2547,-0.611735501100013,-3.62123667832432,-8.57965430957784,-3.62123667832432,1.3371809529292,-8.7474270398447,-3.94400087270485,0.661837699111672,"train",-8.69154387350099,-3.93402075721433,0.619667125333934
2548,-4.253373753138,-1.5985273442484,-6.55694485518173,-1.5985273442484,3.35989016668493,-6.74847769763899,-2.05860163984723,4.04712248033591,"train",-6.68533178798677,-2.07891289171654,4.115136807853
2549,-1.03053735498471,0.587907609382147,-4.37050978124509,0.587907609382147,5.54632500000938,-4.81912888521829,0.589692125951584,6.08311405239572,"train",-4.71651607270321,0.630992645696831,6.1198188345146
